ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT_2015-01-09.u1	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 36	2015-01-09	2015-01-09		I/XII	4	36	2015-01-09		Reference	Chairperson	MP	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Coalition	Assunção Andrade Esteves, Maria	F	1956
ParlaMint-PT_2015-01-09.u2	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 36	2015-01-09	2015-01-09		I/XII	4	36	2015-01-09		Reference	Regular	notMP	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Coalition	Manuel Gomes Reis, Hélder	M	1969
ParlaMint-PT_2015-01-09.u293	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 36	2015-01-09	2015-01-09		I/XII	4	36	2015-01-09		Reference	Regular	MP	GP-PCP	Grupo Parlamentar do Partido Comunista Português		Alexandra Sobral Guerreiro Santos Barbosa, Paula	F	1980
ParlaMint-PT_2015-01-09.u294	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 36	2015-01-09	2015-01-09		I/XII	4	36	2015-01-09		Reference	Chairperson	MP	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Coalition	Assunção Andrade Esteves, Maria	F	1956
