Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-PT_2020-12-03	ParlaMint-PT_2020-12-03.u1	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 26	2020-12-03	Unicameralism	Série I - XIV Legislatura	Sessão 2	Número 26	03.12.2020	-	COVID	Portuguese	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	Other
ParlaMint-PT_2020-12-03	ParlaMint-PT_2020-12-03.u2	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 26	2020-12-03	Unicameralism	Série I - XIV Legislatura	Sessão 2	Número 26	03.12.2020	-	COVID	Portuguese	Regular	MP	notMinister	GP-BE	Grupo Parlamentar do Bloco de Esquerda	Opposition	Left to far-left	NelsonRicardoEstevesPeralta	Ricardo Esteves Peralta, Nelson	M	1981	Other
ParlaMint-PT_2020-12-03	ParlaMint-PT_2020-12-03.u367	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 26	2020-12-03	Unicameralism	Série I - XIV Legislatura	Sessão 2	Número 26	03.12.2020	-	COVID	Portuguese	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	DiogoFeijóoLeãoCamposRodrigues	Feijóo Leão Campos Rodrigues, Diogo	M	1986	Other
ParlaMint-PT_2020-12-03	ParlaMint-PT_2020-12-03.u368	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 26	2020-12-03	Unicameralism	Série I - XIV Legislatura	Sessão 2	Número 26	03.12.2020	-	COVID	Portuguese	Chairperson	MP	notMinister	GP-BE	Grupo Parlamentar do Bloco de Esquerda	Opposition	Left to far-left	JoséManuelMarquesdaSilvaPureza	Manuel Marques da Silva Pureza, José	M	1958	Housing
