ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	NL	-	1009	CD	1999	9.4	8.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1998	-	-	0.5	-	-	-	1.3	-	-	-	1.3	0	-	2	1.9	3	1.7	1.6	-	-	-	1.4	-	4.2	-	1	11	1	9.2	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	NL	-	1007	GPV	1999	6.7	5.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1998	-	-	2.9	-	-	-	4.2	-	-	-	3.6	0.3	-	3.4	4	4	3.5	3	-	-	-	3.2	-	3.0	-	1	11	10	8.6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.3	-	-	-	-	-	-	-	-	1.2	2020.1
1999-2019	NL	-	1008	RPF	1999	6.8	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1998	-	-	2.9	-	-	-	4.1	-	-	-	3.4	0.3	-	3.4	3.9	4	3.4	3	-	-	-	3.4	-	3.0	-	1	11	10	8.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	2	2020.1
1999-2019	NL	-	1015	LPF	2002	8.4	8.1	-	-	-	-	-	-	-	-	22720	-	-	-	-	-	1	-	2002	-	-	-	-	-	2.7	3.2	-	-	-	3.3	4.8	-	2.7	2	2.5	-	3	-	3.7	-	2.8	-	5.6	-	1	9	1	5.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.3	-	-	-	-	-	-	-	-	17	2020.1
1999-2019	NL	50PLUS	1020	50PLUS	2014	5.2	3.7	-	-	8.1	-	-	5.8	6	-	22953	2.5	-	-	-	4.5	1	6	2012	-	5.3	3.7	5.5	-	-	-	1.5	-	5.5	3.5	1	-	-	-	4	-	4	-	4.3	-	4.8	-	4.8	3.5	1	11	9	4.3	-	-	6.1	-	0.0	-	5	-	-	4	-	13	14	16	-	-	5.5	6	-	-	-	4.2	-	5.5	-	2.3	-	1.3	-	3	3.3	-	4.5	-	-	-	1.9	2020.1
1999-2019	NL	50PLUS	1020	50PLUS	2019	5.1	4.5	4.8	2.5	8.1	-	2.8	4.7	6.2	-	22953	1.8	-	-	-	4.8	1	4.2	2017	2.6	5.6	3.9	5.2	-	-	3.3	-	4.3	3	3.2	3.5	-	-	-	-	-	3.4	-	3.9	-	3.9	-	2.8	-	1	13	9	5.6	6.7	2.7	3.1	-	0.0	2.5	5.5	3.1	-	-	7.3	-	-	-	2.5	3.4	6.7	6.4	6	6.2	6.9	4.4	-	6.3	-	4.3	1.7	2.7	-	4.7	3	-	4.4	-	-	-	3.1	2020.1
-	NL	BBB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	NL	BIJ1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	NL	Bontes + Bontes/Van Klaveren + PVV	1017	PVV	2006	8.8	8.3	-	-	-	-	-	-	9.2	6.8	22722	-	9	9	5	8.2	1	-	2006	-	-	-	9	7.5	-	-	-	-	-	1.6	1.1	-	-	-	2.9	-	1.8	-	2.3	-	1.6	-	7.3	1	1	11	1	6.6	-	-	-	-	0.0	-	9.4	9.6	-	-	-	-	-	-	-	-	9.4	-	-	-	4	8.4	1.7	6.8	6.2	2.8	-	6	5.2	5.8	8.7	4	3.7	4.3	6.8	4.3	5.9	2020.1
1999-2019	NL	Bontes + Bontes/Van Klaveren + PVV	1017	PVV	2010	8.6	5.2	-	-	-	-	-	-	9.4	8.7	22722	-	-	-	5.7	4.7	1	-	2010	2.6	8.1	17.0	9.7	9.5	-	-	2.9	-	-	2	0.8	-	-	-	1.5	-	1.7	-	3.2	-	1.4	-	8.1	1.1	1	14	1	7.2	-	-	-	-	0.0	-	10	9.9	5.1	7.1	-	-	-	-	-	10	10	-	-	-	4.6	5.5	3	6.2	5.2	2	-	16	5.9	4.7	5.7	5.8	5.6	3.7	-	-	15.5	2020.1
1999-2019	NL	Bontes + Bontes/Van Klaveren + PVV	1017	PVV	2014	9.2	4.6	-	-	5.1	-	-	9.4	9.3	-	22722	5	-	-	-	5.2	1	4.9	2012	-	8.2	13.3	9.9	-	-	-	3	-	1	1.2	0.9	-	-	-	1.3	-	1.1	-	2.1	-	1.1	-	8.4	1	1	11	1	7.8	-	-	4.9	-	0.0	-	9.9	-	-	7.5	-	9	11	7	-	-	9.8	9.8	-	-	-	5	-	6.5	-	3.6	-	10	-	3.7	4.4	-	5	-	-	-	10.1	2020.1
1999-2019	NL	Bontes + Bontes/Van Klaveren + PVV	1017	PVV	2019	8.7	6.5	6.4	4.3	3.9	-	9.9	9.7	9.1	-	22722	3.4	-	-	-	6.1	1	6	2017	4	9	3.5	9.8	-	-	1.1	-	1.4	1.1	1	0	-	-	-	-	-	1	-	1.7	-	1.3	-	7.1	-	1	13	1	7.2	3.4	1.3	5.9	-	0.0	0.2	9.9	9.9	-	-	10	-	-	-	0.3	10	9.9	9.8	9.3	8.3	4.2	5.8	-	7.2	-	3.4	2.2	13.3	-	4.8	6.2	-	5.8	-	-	-	13.1	2020.1
1999-2019	NL	CDA	1001	CDA	1999	5.2	5.3	-	-	-	-	-	-	-	-	22521	-	-	-	-	-	1	-	1998	-	-	26.9	-	-	-	6.3	-	-	-	4.7	1.8	-	5.2	5.4	5.8	5.1	5.9	-	-	-	6.5	-	4.8	-	1	11	4	6.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19.3	-	-	-	-	-	-	-	-	18.4	2020.1
1999-2019	NL	CDA	1001	CDA	2002	6.1	6.2	-	-	-	-	-	-	-	-	22521	-	-	-	-	-	1	-	2002	-	-	26.9	-	-	5.9	5.6	-	-	-	5	1.8	-	4.8	4.9	5	-	5.3	-	5.2	-	5.8	-	5.2	-	1	9	4	6.9	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28.7	-	-	-	-	-	-	-	-	27.9	2020.1
1999-2019	NL	CDA	1001	CDA	2006	6.1	5.6	-	-	-	-	-	-	6.7	4.2	22521	-	5.8	5.2	4.6	5.8	1	-	2006	-	-	24.4	5.4	5.2	-	-	-	-	-	4.8	3.2	-	-	-	5	-	4.9	-	5.8	-	5.3	-	4.2	3.4	1	12	4	6.7	-	-	-	-	1.0	-	6.3	5.8	-	-	-	-	-	-	-	-	7	-	-	-	4.6	5.3	2.3	4	7.2	7.1	-	27.3	5.3	5.7	4.9	4.7	6.8	6	7	5	26.5	2020.1
1999-2019	NL	CDA	1001	CDA	2010	6.3	6.5	-	-	-	-	-	-	7.1	6.1	22521	-	-	-	6.1	6.2	1	-	2010	3.9	7	20.0	6	5.5	-	-	1	-	-	5.2	2.9	-	-	-	5	-	5.1	-	5.8	-	5.3	-	5.5	3.7	1	14	4	7.1	-	-	-	-	1.0	-	7	6.3	6.2	2.4	-	-	-	-	-	6.1	7	-	-	-	5.3	6.1	3	5.8	7.5	7.7	-	14	5.3	5.9	6	6.2	7.6	5.6	-	-	13.6	2020.1
