ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	SI	-	2909	AS	2006	4.6	3.8	-	-	-	-	-	-	3	6.4	-	-	3.6	5.4	4.6	3.8	0	-	2004	-	-	-	3.6	5.8	-	-	-	-	-	5.4	1.3	-	-	-	5.4	-	4.2	-	4.8	-	5.4	-	4	4	1	5	7	2.6	-	-	-	-	0.0	-	4.2	5.2	-	-	-	-	-	-	-	-	3.6	-	-	-	6.4	3	5	4	4	2.4	-	0	7.2	2.6	3.2	5.2	4	4	3.2	5	3	2020.1
1999-2019	SI	-	2904	SLS-SMS	2010	6.8	5.3	-	-	-	-	-	-	7	4	97521	-	-	-	4.2	4.1	0	-	2008	3.7	4.7	3.6	6.7	5.4	-	-	1.8	-	-	5.8	2.1	-	-	-	4.5	-	4.1	-	4.6	-	4.7	-	4.8	3.6	1	15	4	7.8	-	-	-	-	0.0	-	7	5.3	4.3	5.7	-	-	-	-	-	5.3	6.7	-	-	-	5.9	4.6	7.1	2.6	7.5	7.8	-	5.6	6.3	8.1	4.4	5.9	7.9	8.2	-	-	5.2	2020.1
-	SI	DL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	SI	DLGV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	SI	DeSUS	2906	DeSUS	2002	3.4	3.4	-	-	-	-	-	-	-	-	97951	-	-	-	-	-	0	-	2000	-	-	-	-	-	5	4.7	-	-	-	4.3	2.4	-	4	4	2.5	-	2.8	-	3	-	5.0	-	6	-	0	5	9	5.8	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.4	-	-	-	-	-	-	-	-	5.2	2020.1
1999-2019	SI	DeSUS	2906	DeSUS	2006	3.2	2.6	-	-	-	-	-	-	4.8	4.6	97951	-	5	3.8	5.2	3.2	0	-	2004	-	-	-	4	4.2	-	-	-	-	-	5.4	2	-	-	-	5.2	-	4.8	-	4.5	-	5.4	-	5.3	3.7	1	5	9	4.5	-	-	-	-	1.0	-	4.6	4	-	-	-	-	-	-	-	-	4	-	-	-	6.8	3	4.8	4.4	3.4	3	-	4.4	4.6	4.4	2.8	5.6	5.2	3.6	3.8	3.8	4	2020.1
1999-2019	SI	DeSUS	2906	DeSUS	2010	4.2	3.3	-	-	-	-	-	-	5.7	4.8	97951	-	-	-	4.9	3.4	0	-	2008	3.1	5.2	7.2	4.9	3.2	-	-	1.8	-	-	5.4	1.8	-	-	-	5	-	4.6	-	4.3	-	4.9	-	3.3	4	1	15	9	5.2	-	-	-	-	1.0	-	4.5	3.9	3.5	5.5	-	-	-	-	-	3.5	4.9	-	-	-	7.3	3.6	3	4.9	4	3.8	-	7.8	3.2	5.2	2.4	7.2	4.9	3.7	-	-	7.5	2020.1
1999-2019	SI	DeSUS	2906	DeSUS	2014	4.2	4.0	-	-	5.5	-	-	4.5	5.3	-	97951	6.3	-	-	-	4.1	0	4.3	2014	-	4.9	8.1	4.8	-	-	-	1.6	-	4.1	6.1	2.5	-	-	-	5.3	-	5.6	-	5.3	-	5.8	-	5.5	4.7	1	14	9	5.3	-	-	4	-	1.0	-	4.5	-	-	4.3	-	14	13	8	-	-	4.2	4.8	-	-	-	4.6	-	4.8	-	3	-	11.1	-	5.1	3.4	-	5.2	-	-	-	10.2	2020.1
1999-2019	SI	DeSUS	2906	DeSUS	2019	3.8	3.3	4.7	2.6	4.7	-	3.2	3.5	4	-	97951	5	-	-	-	3.4	0	3.1	2018	4.1	5.2	5.7	4.1	-	-	4.4	-	4.8	4.2	5.8	3.1	-	-	-	-	-	4.6	-	4.9	-	5.5	-	5.6	-	1	15	9	5.1	5.6	4.1	4.9	-	1.0	3.8	5.3	4	-	-	6.6	-	-	-	3.3	4	4.8	4.6	4.2	6.4	7.1	2.8	-	4.5	-	3.7	4.3	5.7	-	4.3	2.5	-	4.9	-	-	-	4.9	2020.1
-	SI	GAS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	SI	Konkretno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	SI	LDS	2901	LDS	2002	4.2	6.2	-	-	-	-	-	-	-	-	97421	-	-	-	-	-	0	-	2000	-	-	-	-	-	5.3	5.8	-	-	-	6	2.7	-	6	5.8	5	-	5.5	-	5.5	-	6.6	-	8.7	-	0	5	3	3	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37.8	-	-	-	-	-	-	-	-	36.3	2020.1
