ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	BG	-	2005	G-VMRO	2002	6.2	6.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2001	-	-	-	-	-	6.8	5	-	-	-	6.2	3.0	-	6	6	4.3	-	3.8	-	4	-	4.9	-	5.2	-	0	11	2	6.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	3.6	2020.1
1999-2019	BG	-	2003	KzB	2002	2.3	2.7	-	-	-	-	-	-	-	-	80221	-	-	-	-	-	0	-	2001	-	-	-	-	-	6.4	6.2	-	-	-	6.9	3.9	-	6.4	5.3	6	-	5.1	-	5.6	-	6.2	-	8.5	-	0	11	5	6.9	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	17.1	2020.1
1999-2019	BG	-	2001	NDSV	2002	5.6	5.7	-	-	-	-	-	-	-	-	80902	-	-	-	-	-	0	-	2001	-	-	-	-	-	6	6.2	-	-	-	6.7	2.3	-	6	5.5	5.4	-	5.4	-	6.2	-	6.5	-	9.4	-	0	11	3	5.1	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	-	-	-	-	-	-	-	-	42.7	2020.1
1999-2019	BG	-	2002	ODS	2002	7.2	7.3	-	-	-	-	-	-	-	-	80411	-	-	-	-	-	0	-	2001	-	-	-	-	-	5.9	6	-	-	-	6.7	1.2	-	5.8	5.7	5.8	-	5.5	-	6.2	-	6.9	-	10	-	0	11	2	4.1	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21.3	-	-	-	-	-	-	-	-	18.2	2020.1
1999-2019	BG	-	2009	BNS	2006	5.8	6.0	-	-	-	-	-	-	5.7	5	-	-	6	4.4	4.6	6	0	-	2005	-	-	-	4.9	5.1	-	-	-	-	-	6.7	1.7	-	-	-	5.4	-	6	-	6.1	-	6.0	-	7.3	4	0	12	9	5.4	-	-	-	-	0.0	-	5.6	3.8	-	-	-	-	-	-	-	-	5.4	-	-	-	4.5	5.1	3.5	5	2.7	4.1	-	5.4	3	4.9	5.7	5	6.9	6.3	6.9	5	5.2	2020.1
1999-2019	BG	-	2008	DSB	2006	7.8	7.8	-	-	-	-	-	-	5.4	6.7	80610	-	5.2	5.1	6.4	8	0	-	2005	-	-	-	5.2	5.9	-	-	-	-	-	6.9	1.6	-	-	-	5.7	-	6	-	6.6	-	6.4	-	8.6	3.3	0	13	2	4.5	-	-	-	-	0.0	-	5.3	3.6	-	-	-	-	-	-	-	-	5.9	-	-	-	3.8	7.2	3.8	5.3	3.4	5.3	-	7.1	3.2	5.4	7.7	6.2	3.1	4.8	7.8	5.4	6.4	2020.1
1999-2019	BG	-	2003	KzB	2006	3.3	3.2	-	-	-	-	-	-	6.3	5.1	80221	-	6.1	5.2	4	4.2	0	-	2005	-	-	-	4.7	5.7	-	-	-	-	-	6.8	2.7	-	-	-	5.7	-	5.4	-	5.9	-	6.5	-	9.2	4.9	0	13	5	5.8	-	-	-	-	1.0	-	5.2	2.9	-	-	-	-	-	-	-	-	6	-	-	-	5.5	3	3.5	5.2	2.4	3.3	-	34.2	3.6	4.9	4.3	5.5	5.2	4.9	4.4	5	31	2020.1
1999-2019	BG	-	2001	NDSV	2006	6.1	6.5	-	-	-	-	-	-	4.8	4.8	80902	-	4.8	4.2	6	7.3	0	-	2005	-	-	-	4.8	5	-	-	-	-	-	7	0.8	-	-	-	5.9	-	5.9	-	6.7	-	6.7	-	9.7	5	0	13	3	4	-	-	-	-	1.0	-	5.3	3.3	-	-	-	-	-	-	-	-	5.4	-	-	-	3.8	6.4	3.3	4.8	3.1	4.2	-	22.1	3.2	4.2	6.6	6.4	3.1	5.1	6.8	5	22.9	2020.1
1999-2019	BG	-	2002	ODS	2006	7.1	7.5	-	-	-	-	-	-	4.8	5.7	80411	-	4.7	5.2	6.1	7.6	0	-	2005	-	-	-	4.7	5.4	-	-	-	-	-	6.9	1.1	-	-	-	5.8	-	6	-	6.6	-	6.7	-	9.2	4.5	0	13	2	4.3	-	-	-	-	0.0	-	5.3	3.1	-	-	-	-	-	-	-	-	5.5	-	-	-	3.7	6.7	3.8	5.3	2.9	4.6	-	8.3	3.4	5.1	7	6	3.4	4.8	7.6	5.3	7.7	2020.1
1999-2019	BG	-	2009	BNS	2010	6.1	5.6	-	-	-	-	-	-	5.5	4.7	-	-	-	-	4.3	5.5	0	-	2009	3.5	5.5	-	5.4	6	-	-	2.7	-	-	5.5	2	-	-	-	4	-	5.2	-	4.8	-	6.0	-	6.2	3.7	1	14	9	6.1	-	-	-	-	0.0	-	5.3	3.5	3	5.5	-	-	-	-	-	3.7	6.3	-	-	-	5	5.5	3.8	4.7	2.8	4.2	-	-	4.4	6.6	4.9	5	6.4	6	-	-	-	2020.1
