ID	Title	From	To	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL_2016-10-12-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 11, Session 5 (2016-10-12)	2016-10-12	2016-10-12	28-lower	5	11	-	-	Reference	Chairperson	MP	PvdA	Partij van de Arbeid	Arib, Khadija	F	-
ParlaMint-NL_2016-10-12-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 11, Session 5 (2016-10-12)	2016-10-12	2016-10-12	28-lower	5	11	-	-	Reference	Chairperson	MP	PvdA	Partij van de Arbeid	Arib, Khadija	F	-
ParlaMint-NL_2016-10-12-tweedekamer-5.u37	Report of the meeting of the Dutch Lower House, Meeting 11, Session 5 (2016-10-12)	2016-10-12	2016-10-12	28-lower	5	11	-	-	Reference	Regular	MP	GL	GroenLinks	Grashoff, Rik	M	-
ParlaMint-NL_2016-10-12-tweedekamer-5.u38	Report of the meeting of the Dutch Lower House, Meeting 11, Session 5 (2016-10-12)	2016-10-12	2016-10-12	28-lower	5	11	-	-	Reference	Chairperson	MP	PvdA	Partij van de Arbeid	Arib, Khadija	F	-
