ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT_2022-05-19-027-XXVII-NRSITZ-00159_d7e395	Sitting Number 159, Legislative period XXVII, Thursday, 19. May 2022	2022-05-19	Lower house	27	-	-	159	-	COVID War	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Hofer, Norbert	M	1971
ParlaMint-AT_2022-05-19-027-XXVII-NRSITZ-00159_d7e441	Sitting Number 159, Legislative period XXVII, Thursday, 19. May 2022	2022-05-19	Lower house	27	-	-	159	-	COVID War	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Hofer, Norbert	M	1971
