ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-EE_2014-12-02_U1	ParlaMint-EE_2014-12-02	u	Estonian	-	-	-	3	14	19	2	
ParlaMint-EE_2014-12-02_U1-P1.1	ParlaMint-EE_2014-12-02_U1	s	Estonian	Positive	mixed positive	4.115	1	4	6	1	
ParlaMint-EE_2014-12-02_U1-P1.2	ParlaMint-EE_2014-12-02_U1	s	Estonian	Neutral	neutral postive	2.843	1	7	8	0	
ParlaMint-EE_2014-12-02_U1-P1.3	ParlaMint-EE_2014-12-02_U1	s	Estonian	Positive	mixed positive	3.542	1	3	5	1	
ParlaMint-EE_2014-12-02_U2	ParlaMint-EE_2014-12-02	u	Estonian	-	-	-	10	114	132	2	
ParlaMint-EE_2014-12-02_U2-P1.1	ParlaMint-EE_2014-12-02_U2	s	Estonian	Positive	mixed positive	4.392	1	2	3	0	
ParlaMint-EE_2014-12-02_U2-P1.2	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral postive	2.637	1	4	5	0	
ParlaMint-EE_2014-12-02_U2-P1.3	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral negative	2.248	1	11	12	0	
ParlaMint-EE_2014-12-02_U2-P1.4	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral negative	2.476	1	17	19	0	
ParlaMint-EE_2014-12-02_U2-P1.5	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral postive	2.689	1	5	6	0	
ParlaMint-EE_2014-12-02_U2-P1.6	ParlaMint-EE_2014-12-02_U2	s	Estonian	Negative	mixed negative	0.809	1	17	19	1	
ParlaMint-EE_2014-12-02_U2-P1.7	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral postive	3.251	1	18	20	1	
ParlaMint-EE_2014-12-02_U2-P1.8	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral postive	3.257	1	37	43	0	
ParlaMint-EE_2014-12-02_U2-P1.9	ParlaMint-EE_2014-12-02_U2	s	Estonian	Neutral	neutral postive	2.685	1	2	3	0	
ParlaMint-EE_2014-12-02_U2-P1.10	ParlaMint-EE_2014-12-02_U2	s	Estonian	Positive	positive	4.984	1	1	2	0	
ParlaMint-EE_2014-12-02_U63	ParlaMint-EE_2014-12-02	u	Estonian	-	-	-	13	154	176	4	
ParlaMint-EE_2014-12-02_U63-P1.1	ParlaMint-EE_2014-12-02_U63	s	Estonian	Positive	positive	4.514	1	2	3	0	
ParlaMint-EE_2014-12-02_U63-P1.2	ParlaMint-EE_2014-12-02_U63	s	Estonian	Positive	positive	4.579	1	2	3	0	
ParlaMint-EE_2014-12-02_U63-P1.3	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral postive	2.677	1	16	16	1	
ParlaMint-EE_2014-12-02_U63-P1.4	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral postive	2.680	1	6	7	1	
ParlaMint-EE_2014-12-02_U63-P1.5	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral postive	2.833	1	16	17	0	
ParlaMint-EE_2014-12-02_U63-P1.6	ParlaMint-EE_2014-12-02_U63	s	Estonian	Negative	mixed negative	0.595	1	17	19	0	
ParlaMint-EE_2014-12-02_U63-P1.7	ParlaMint-EE_2014-12-02_U63	s	Estonian	Negative	mixed negative	0.783	1	12	14	0	
ParlaMint-EE_2014-12-02_U63-P1.8	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral negative	2.171	1	25	31	0	
ParlaMint-EE_2014-12-02_U63-P1.9	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral negative	2.062	1	17	21	0	
ParlaMint-EE_2014-12-02_U63-P1.10	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral postive	3.387	1	7	8	1	
ParlaMint-EE_2014-12-02_U63-P2.1	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral postive	2.603	1	28	29	1	
ParlaMint-EE_2014-12-02_U63-P2.2	ParlaMint-EE_2014-12-02_U63	s	Estonian	Neutral	neutral postive	2.700	1	5	6	0	
ParlaMint-EE_2014-12-02_U63-P2.3	ParlaMint-EE_2014-12-02_U63	s	Estonian	Positive	positive	4.984	1	1	2	0	
ParlaMint-EE_2014-12-02_U64	ParlaMint-EE_2014-12-02	u	Estonian	-	-	-	10	35	44	0	
ParlaMint-EE_2014-12-02_U64-P1.1	ParlaMint-EE_2014-12-02_U64	s	Estonian	Positive	positive	4.984	1	1	2	0	
ParlaMint-EE_2014-12-02_U64-P1.2	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.598	1	4	5	0	
ParlaMint-EE_2014-12-02_U64-P1.3	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral negative	1.634	1	2	3	0	
ParlaMint-EE_2014-12-02_U64-P1.4	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.857	1	2	3	0	
ParlaMint-EE_2014-12-02_U64-P1.5	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.880	1	3	4	0	
ParlaMint-EE_2014-12-02_U64-P1.6	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.643	1	6	7	0	
ParlaMint-EE_2014-12-02_U64-P1.7	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.565	1	8	8	0	
ParlaMint-EE_2014-12-02_U64-P1.8	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.901	1	3	4	0	
ParlaMint-EE_2014-12-02_U64-P1.9	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	3.122	1	2	3	0	
ParlaMint-EE_2014-12-02_U64-P2.1	ParlaMint-EE_2014-12-02_U64	s	Estonian	Neutral	neutral postive	2.849	1	4	5	0	
