ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	DK	-	204	CD	1999	5.6	5.3	-	-	-	-	-	-	-	-	13330	-	-	-	-	-	1	-	1998	-	-	3.5	-	-	-	5.8	-	-	-	6.1	0.4	-	6	6.6	6.7	5.7	5.9	-	-	-	7.0	-	6.4	-	1	7	3	6.2	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.5	-	-	-	-	-	-	-	-	4.3	2020.1
1999-2019	DK	-	212	FP	1999	9.3	8.9	-	-	-	-	-	-	-	-	13951	-	-	-	-	-	1	-	1998	-	-	0.7	-	-	-	1.3	-	-	-	2	0.4	-	1.7	1.7	1.9	1.3	1.3	-	-	-	1.4	-	6.1	-	1	7	1	7.6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.2	-	-	-	-	-	-	-	-	2.4	2020.1
1999-2019	DK	-	217	FolkB	1999	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1998	-	-	7.3	-	-	-	1.8	-	-	-	1.3	0	-	1.3	2.1	1	1	1	-	-	-	1.0	-	7.5	-	1	7	9	3	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	DK	-	216	JuniB	1999	2.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1998	-	-	16.1	-	-	-	1.8	-	-	-	1.7	0	-	1.3	2.3	1.7	1	1.1	-	-	-	1.4	-	7.5	-	1	7	9	3	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	DK	-	217	FolkB	2006	2.7	2.7	-	-	-	-	-	-	3.2	2.2	-	-	6.5	7.2	2.5	3.8	1	-	2005	-	-	5.2	4.8	3.5	-	-	-	-	-	2.9	0.8	-	-	-	2.6	-	1.6	-	2	-	1.1	-	10	3.1	1	9	9	4.8	-	-	-	-	0.0	-	4	2.8	-	-	-	-	-	-	-	-	3.8	-	-	-	3	3.5	3.2	4.2	2.8	3	-	-	2.8	4	3.5	3	4	1.2	4	4	-	2020.1
1999-2019	DK	-	216	JuniB	2006	3.2	2.8	-	-	-	-	-	-	3.2	2.2	-	-	6.2	7.8	2.5	3.8	1	-	2005	-	-	9.1	4.8	3.5	-	-	-	-	-	2.9	0.7	-	-	-	2.1	-	1.6	-	2.1	-	1.2	-	10	3.3	1	9	9	4.8	-	-	-	-	0.0	-	4	2.8	-	-	-	-	-	-	-	-	3.8	-	-	-	3	3.5	3.2	4.2	2.8	3	-	-	2.8	4	3.5	3	4	1.2	4	4	-	2020.1
1999-2019	DK	-	217	FolkB	2010	2.7	3.2	-	-	-	-	-	-	4	3	-	-	-	-	2.5	2.7	1	-	2007	3	4	7.2	5	2.5	-	-	3	-	-	2.7	1	-	-	-	3	-	1.4	-	2.2	-	1.3	-	9.3	2.6	1	11	9	4.7	-	-	-	-	0.0	-	4	2.5	4	5	-	-	-	-	-	2.5	5	-	-	-	4.7	2.5	3	5	0.7	3	-	-	2	2	4	2.2	5	2	-	-	-	2020.1
1999-2019	DK	-	217	FolkB	2014	2.0	1.3	-	-	4.7	-	-	8	1.5	-	-	2.2	-	-	-	2.2	1	1.2	2011	-	1.5	8.1	1.5	-	-	-	2.9	-	1.2	2	0.2	-	-	-	3.5	-	1.2	-	1.9	-	1.1	-	9.7	3.2	1	11	9	2.8	-	-	8.1	-	0.0	-	1.5	-	-	9.3	-	8	47	12	-	-	2	7.7	-	-	-	2	-	4	-	1.5	-	-	-	1.3	3.5	-	5	-	-	-	-	2020.1
1999-2019	DK	ALT	219	A	2019	2.5	3.2	4.2	3	3.4	-	2.5	4.9	2.5	-	-	1.8	-	-	-	2.9	1	3.4	2019	9.6	2.1	3.4	2.2	-	-	5	-	3.5	4.1	4.4	2.6	-	-	-	-	-	3.8	-	4.2	-	5.4	-	4.3	-	1	14	7	0.9	0.8	0.7	7.9	-	0.0	2	2	5.6	-	-	4.1	-	-	-	2.2	5.6	2	1.5	6.5	3.6	4.1	2.8	-	4.1	-	0.9	0.8	2.9	-	0.6	3	-	2.6	-	-	-	3	2020.1
1999-2019	DK	DF	215	DF	1999	8.9	7.3	-	-	-	-	-	-	-	-	13720	-	-	-	-	-	1	-	1998	-	-	5.8	-	-	-	1.3	-	-	-	1.4	0	-	1.7	1.6	1.6	1.1	1.3	-	-	-	1.4	-	6.4	-	1	7	1	8	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.3	-	-	-	-	-	-	-	-	7.4	2020.1
1999-2019	DK	DF	215	DF	2002	8.8	6.1	-	-	-	-	-	-	-	-	13720	-	-	-	-	-	1	-	2001	-	-	5.8	-	-	3.9	1.3	-	-	-	2	1.6	-	1.9	3.7	1.5	-	2.1	-	2.7	-	1.6	-	6.7	-	1	13	1	8.9	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.3	-	-	-	-	-	-	-	-	12.4	2020.1
