Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
ES	MiquelOctaviIcetaiLlorens	minister	2021-07-12	-	-	-	-	Minister of Culture and Sports	-	-
ES	MàximHuerta	minister	2018-06-07	2018-06-13	-	-	-	Minister of Culture and Sports	-	-
ES	NadiaCalviñoSantamaría	minister	2018-06-07	2020-01-13	-	-	-	Minister of Economy and Business	-	-
ES	NadiaCalviñoSantamaría	minister	2020-01-13	-	-	-	-	Minister of Economic Affairs and Digital Transformation	-	-
ES	PabloIglesiasTurrión	minister	2020-01-13	2021-03-31	-	-	-	Minister of Social Rights and 2030 Agenda	-	-
ES	PedroDuqueDuque	minister	2018-06-07	2020-01-13	-	-	-	Minister of Science, Innovation and Universities	-	-
ES	PedroDuqueDuque	minister	2020-01-13	2021-07-12	-	-	-	Minister of Science and Innovation	-	-
ES	PedroMorenésEulate	minister	2011-12-22	2016-11-04	-	-	-	Minister of Defence	-	-
ES	PilarAlegríaContinente	minister	2021-07-12	-	-	-	-	Minister of Education and Vocational Training	-	-
ES	PilarLlopCuenca	minister	2021-07-12	-	-	-	-	Minister of Justice	-	-
ES	RafaelCataláPolo	minister	2016-11-04	2018-06-07	-	-	-	Minister of Justice	-	-
ES	RaquelSánchezJiménez	minister	2021-07-12	-	-	-	-	Minister of Transport, Mobility and Urban Agenda	-	-
ES	ReyesMarotoIllera	minister	2018-06-07	2023-03-28	-	-	-	Minister of Industry, Trade and Tourism	-	-
ES	RománEscolanoOlivares	minister	2018-03-08	2018-06-07	-	-	-	Minister of Economy, Industry and Competitiveness	-	-
ES	SalvadorIllaRoca	minister	2020-01-13	2021-01-27	-	-	-	Minister of Health	-	-
ES	SorayaSáenzdeSantamaría	minister	2011-12-22	2016-11-04	-	-	-	Minister of the Presidency	-	-
ES	SorayaSáenzdeSantamaría	minister	2016-11-04	2018-06-07	-	-	-	Minister of the Presidency and for Territorial Administrations	-	-
ES	TeresaRiberaRodríguez	minister	2018-06-07	2020-01-13	-	-	-	Minister for the Ecological Transition	-	-
ES	TeresaRiberaRodríguez	minister	2020-01-13	-	-	-	-	Minister for the Ecological Transition and the Demographic Challenge	-	-
ES	YolandaDíazPérez	minister	2020-01-13	-	-	-	-	Minister of Labour and Social Economy	-	-
ES	ÁlvaroMaríaNadalBelda	minister	2016-11-04	2018-06-07	-	-	-	Minister of Energy, Tourism and Digital Agenda	-	-
ES	ÍñigoMéndezdeVigo	minister	2015-06-26	2018-06-07	-	-	-	Minister of Education, Culture and Sports	-	-
ES	ÍñigodelaSerna	minister	2016-11-04	2018-06-07	-	-	-	Minister of Development	-	-
