Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
GR	ΕΛΕΥΘΕΡΙΟΣ_ΠΑΠΑΓΕΩΡΓΟΠΟΥΛΟΣ	minister	2015-08-28	2015-09-21	-	-	ΥΠΟΥΡΓΟΣ ΕΠΙΚΡΑΤΕΙΑΣ	-	-	-
GR	ΒΟΥΤΣΗΣ_ΓΕΩΡΓΙΟΥ_ΝΙΚΟΛΑΟΣ	minister	2015-01-27	2015-08-27	-	-	ΥΠΟΥΡΓΟΣ ΕΣΩΤΕΡΙΚΩΝ ΚΑΙ ΔΙΟΙΚΗΤΙΚΗΣ ΑΝΑΣΥΓΚΡΟΤΗΣΗΣ	-	-	-
GR	ΑΡΑΧΩΒΙΤΗΣ_ΓΕΩΡΓΙΟΥ_ΣΤΑΥΡΟΣ	minister	2018-08-29	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ	-	-	-
GR	ΚΑΡΑΣΜΑΝΗΣ_ΑΘΑΝΑΣΙΟΥ_ΓΕΩΡΓΙΟΣ	minister	2015-01-25	2015-01-27	-	-	ΥΠΟΥΡΓΟΣ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ	-	-	-
GR	ΝΙΚΟΣ_ΧΡΙΣΤΟΔΟΥΛΑΚΗΣ	minister	2015-08-28	2015-09-21	-	-	ΥΠΟΥΡΓΟΣ ΟΙΚΟΝΟΜΙΑΣ ΥΠΟΔΟΜΩΝ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΤΟΥΡΙΣΜΟΥ	-	-	-
GR	ΣΤΑΜΑΤΗΣ_ΙΩΑΝΝΗ_ΔΗΜΗΤΡΙΟΣ	minister	2015-01-25	2015-01-27	-	-	ΥΠΟΥΡΓΟΣ ΕΠΙΚΡΑΤΕΙΑΣ	-	-	-
GR	ΕΥΑΓΓΕΛΟΣ_ΑΠΟΣΤΟΛΑΚΗΣ	minister	2019-01-14	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ	-	-	-
GR	ΚΟΝΤΟΝΗΣ_ΝΙΚΟΛΑΟΥ_ΧΑΡΑΛΑΜΠΟΣ-ΣΤΑΥΡΟΣ	minister	2016-11-05	2018-08-29	-	-	ΥΠΟΥΡΓΟΣ ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ	-	-	-
GR	ΣΤΑΘΑΚΗΣ_ΜΗΝΑ_ΓΕΩΡΓΙΟΣ	minister	2015-01-27	2015-08-27	-	-	ΥΠΟΥΡΓΟΣ ΟΙΚΟΝΟΜΙΑΣ ΥΠΟΔΟΜΩΝ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΤΟΥΡΙΣΜΟΥ	-	-	-
GR	ΣΤΑΘΑΚΗΣ_ΜΗΝΑ_ΓΕΩΡΓΙΟΣ	minister	2015-09-23	2016-11-05	-	-	ΥΠΟΥΡΓΟΣ ΟΙΚΟΝΟΜΙΑΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΟΥΡΙΣΜΟΥ	-	-	-
GR	ΣΤΑΘΑΚΗΣ_ΜΗΝΑ_ΓΕΩΡΓΙΟΣ	minister	2016-11-05	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ	-	-	-
GR	ΣΤΑΙΚΟΥΡΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΧΡΗΣΤΟΣ	minister	2019-07-09	-	-	-	ΥΠΟΥΡΓΟΣ ΟΙΚΟΝΟΜΙΚΩΝ	-	-	-
GR	ΚΑΤΡΟΥΓΚΑΛΟΣ_ΣΤΕΛΙΟΥ-ΠΑΝΑΓΙΩΤΗ_ΓΕΩΡΓΙΟΣ	minister	2015-09-23	2016-11-05	-	-	ΥΠΟΥΡΓΟΣ ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ	-	-	-
GR	ΚΑΤΡΟΥΓΚΑΛΟΣ_ΣΤΕΛΙΟΥ-ΠΑΝΑΓΙΩΤΗ_ΓΕΩΡΓΙΟΣ	minister	2019-02-15	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΕΞΩΤΕΡΙΚΩΝ	-	-	-
GR	ΑΛΕΞΑΝΔΡΟΣ_ΦΛΑΜΠΟΥΡΑΡΗΣ	minister	2015-01-27	2015-08-27	-	-	ΥΠΟΥΡΓΟΣ ΕΠΙΚΡΑΤΕΙΑΣ	-	-	-
GR	ΜΥΡΣΙΝΗΣ_ΖΟΡΜΠΑΣ	minister	2018-08-29	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ	-	-	-
