ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI_2015-05-28-ps-10.u1	Suomen eduskunnan täysistunnon 10/2015 pöytäkirja, 2015-05-28	2015-05-28	Yksikamarisuus	2015	2015	10	2015-05-28	-	Viite	Puhemies	MP	notMinister	KESK	Suomen Keskusta	Opposition	Sipilä, Juha	M	1961
ParlaMint-FI_2015-05-28-ps-10.u2	Suomen eduskunnan täysistunnon 10/2015 pöytäkirja, 2015-05-28	2015-05-28	Yksikamarisuus	2015	2015	10	2015-05-28	-	Viite	Puhemies	MP	notMinister	KESK	Suomen Keskusta	Opposition	Sipilä, Juha	M	1961
