country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
SE	KD	KD	2014	2020.1	7.48	7.19	-	-	6.19	-	-	2.11	6.82	-	11520	1.89	-	-	-	7.06	1	6.84	2014	-	5.84	5.9	3.94	-	-	-	1.23	-	3.53	4.57	3.05	-	-	-	5	-	5.44	-	5.63	-	5.86	-	4	5	1	22	4	6.95	-	-	7.05	-	0.5	-	2.61	-	-	3.26	-	13	15	16	-	-	3.84	4.65	-	-	-	6.11	-	5.13	-	6.72	-	4.60	-	6.26	6.21	-	5.16	-	-	-	4.6
SE	KD	KD	2019	2020.1	7.82	7.24	3	2.78	6.06	-	3.5	3.44	8.24	-	11520	1	-	-	-	7.60	1	6.76	2018	4.24	6.12	8.62	4.75	-	-	4.62	-	3.7	3.54	4.5	2.17	-	-	-	-	-	3.77	-	6.36	-	5.82	-	4.35	-	1	17	4	7.06	3.12	2.5	7.80	-	0.0	3.75	7.82	7.65	-	-	6.57	-	-	-	3.2	7.33	7.18	6.24	2.71	3.40	4.94	6.31	-	5	-	6.06	2.83	6.30	-	5.12	6.76	-	5.25	-	-	-	6.3
SE	L	L	2019	2020.1	6.53	7.12	2.2	2	7	-	1.64	1.75	6.29	-	11420	0.86	-	-	-	8	1	6.88	2018	5.06	5.41	4.13	3.38	-	-	5.31	-	0.90	4.85	4.80	1.33	-	-	-	-	-	5.46	-	6.93	-	6.88	-	7.35	-	1	17	3	3.24	1.5	2.12	6.31	-	0.0	3.41	4.5	6.53	-	-	6.43	-	-	-	3.19	6.56	4.47	2.53	3	1.67	5.31	6.25	-	4.94	-	1.73	3	5.70	-	1	7.25	-	3.94	-	-	-	5.5
SE	M	M	1999	2020.1	7.67	8.33	-	-	-	-	-	-	-	-	11620	-	-	-	-	-	1	-	1998	-	-	20.70	-	-	-	4.83	-	-	-	3.80	2.22	-	3	5.57	4.22	5	6.14	-	-	-	6.11	-	5.94	-	1	9	2	6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23.5	-	-	-	-	-	-	-	-	22.90
SE	M	M	2002	2020.1	7.75	8.63	-	-	-	-	-	-	-	-	11620	-	-	-	-	-	1	-	2002	-	-	20.70	-	-	3.08	5.83	-	-	-	4.1	2.5	-	3.3	5	4.5	-	5.92	-	6.33	-	6.33	-	6.93	-	1	12	2	4.64	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.8	-	-	-	-	-	-	-	-	15.3
SE	M	M	2006	2020.1	7.56	7.89	-	-	-	-	-	-	7.78	7.78	11620	-	4.13	3.88	7.63	8.11	1	-	2006	-	-	18.20	4.89	4.14	-	-	-	-	-	5.14	2.36	-	-	-	4.56	-	5.75	-	6.44	-	6.18	-	4.83	5.78	1	11	2	6	-	-	-	-	0.5	-	5.67	6.67	-	-	-	-	-	-	-	-	6.25	-	-	-	6.44	6.78	5	5.88	4.78	3.56	-	27.80	6.33	3.78	7.78	7.67	2.89	5	6.56	6.44	26.1
SE	M	M	2010	2020.1	7.29	7.5	-	-	-	-	-	-	7.14	6.86	11620	-	-	-	7	7.29	1	-	2010	4.64	5.93	18.83	4.46	4.08	-	-	1.07	-	-	5.07	2.27	-	-	-	4.62	-	5.93	-	6.33	-	6.33	-	6.44	6	1	15	2	5.21	-	-	-	-	1.0	-	5.36	5	5.93	2.79	-	-	-	-	-	4.58	4.33	-	-	-	6.07	6.43	3.85	5.17	3.93	3.46	-	30.70	5.14	3.21	7.57	8	3	3.43	-	-	30.1
SE	M	M	2014	2020.1	7.43	7.67	-	-	8.48	-	-	1.74	6.5	-	11620	1.76	-	-	-	7.5	1	7.37	2014	-	6.16	13.7	3.88	-	-	-	1.09	-	4.06	4.71	2.52	-	-	-	5.06	-	5.89	-	6.42	-	6.36	-	4.82	5.61	1	22	2	4.67	-	-	4.67	-	0.5	-	2.61	-	-	2.53	-	13	17	5	-	-	3.26	3.89	-	-	-	6.72	-	6.13	-	3.11	-	24.1	-	3.21	6.84	-	3.42	-	-	-	23.3
SE	M	M	2019	2020.1	7.71	7.71	3.2	3	7.53	-	2.57	2.25	8.65	-	11620	1	-	-	-	8.19	1	7.59	2018	4.24	6.47	16.83	5	-	-	4.62	-	3.40	3.77	4.10	2	-	-	-	-	-	4	-	6.5	-	6.06	-	4.94	-	1	17	2	5.94	3.25	4.38	6.31	-	0.0	4	8	7.47	-	-	7.73	-	-	-	3.56	7.19	6.82	5.53	2.53	2.60	5.31	7.19	-	5.33	-	3.06	3.15	20.1	-	2.81	8.35	-	4.06	-	-	-	19.8
SE	MP	MP	1999	2020.1	3.22	3.22	-	-	-	-	-	-	-	-	11110	-	-	-	-	-	1	-	1998	-	-	9.5	-	-	-	3.33	-	-	-	3.75	1.39	-	4	6.88	4.11	1.38	1.43	-	-	-	1.33	-	6.25	-	1	9	7	2.75	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.60	-	-	-	-	-	-	-	-	4.5
