ID	Title	From	To	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV_PT13-2020-03-10-2047-U1	Latvijas parlamenta corpus ParlaMint-LV, 13. Saeima, 2020-03-10 [ParlaMint SAMPLE]	2020-03-10	2020-03-10	13	-	-	-	-	COVID	Chairperson	MP	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	-	Mūrniece, Ināra	F	-
ParlaMint-LV_PT13-2020-03-10-2047-U2	Latvijas parlamenta corpus ParlaMint-LV, 13. Saeima, 2020-03-10 [ParlaMint SAMPLE]	2020-03-10	2020-03-10	13	-	-	-	-	COVID	Regular	MP	AP	Attīstībai/Par!	-	Plešs, Artūrs Toms	M	-
ParlaMint-LV_PT13-2020-03-10-2047-U503	Latvijas parlamenta corpus ParlaMint-LV, 13. Saeima, 2020-03-10 [ParlaMint SAMPLE]	2020-03-10	2020-03-10	13	-	-	-	-	COVID	Guest	MP	AP	Attīstībai/Par!	-	Golubeva, Marija	F	-
ParlaMint-LV_PT13-2020-03-10-2047-U504	Latvijas parlamenta corpus ParlaMint-LV, 13. Saeima, 2020-03-10 [ParlaMint SAMPLE]	2020-03-10	2020-03-10	13	-	-	-	-	COVID	Chairperson	MP	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	-	Mūrniece, Ināra	F	-
