Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u168	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	התאחדות הספרדים שומרי תורה	התאחדות הספרדים שומרי תורה	-	Nonpartisanism	person.490	זאב, נסים	M	1951
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u169	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	ברית לאומית דמוקרטית	ברית לאומית דמוקרטית	Opposition	Far-left	person.12964	זועבי, חנין	F	1969
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u170	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u171	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	קדימה	קדימה	-	Centre	person.533	סולודקין, מרינה	F	1952
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u172	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u173	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	הליכוד	הליכוד	-	Right	person.12959	רגב, מירי	F	1965
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u174	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u175	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	ישראל ביתנו	ישראל ביתנו	-	Right	person.12950	קירשנבאום, פניה	F	1955
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u176	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u177	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	קדימה	קדימה	-	Centre	person.12935	אדטו, רחל	F	1947
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u178	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u179	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	העבודה	העבודה	-	Left	person.445	כבל, איתן	M	1959
