Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u0	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	יושב ראש	MP	notMinister	יהדות התורה	יהדות התורה	Coalition	אי-מפלגתיות	person.526	גפני, משה	M	1952
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u1	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	דובר אורח	notMP	notMinister	-	-	-	-	person.18b204a2-8201-407d-a3c8-aae34c98c72e	פינס, יאיר	U	-
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u2	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	דובר רגיל	MP	notMinister	התאחדות הספרדים שומרי תורה	התאחדות הספרדים שומרי תורה	Coalition	אי-מפלגתיות	person.495	כהן, אמנון	M	1960
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u3	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	דובר אורח	-	-	-	-	-	-	-	-	-	-
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u4	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	דובר אורח	notMP	notMinister	-	-	-	-	person.18b204a2-8201-407d-a3c8-aae34c98c72e	פינס, יאיר	U	-
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u5	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	יושב ראש	MP	notMinister	יהדות התורה	יהדות התורה	Coalition	אי-מפלגתיות	person.526	גפני, משה	M	1952
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u6	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	דובר אורח	notMP	notMinister	-	-	-	-	person.eee6d2ac-644b-4b64-88ea-96746276511f	גרינברג, שירה	U	-
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u7	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	יושב ראש	MP	notMinister	יהדות התורה	יהדות התורה	Coalition	אי-מפלגתיות	person.526	גפני, משה	M	1952
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u8	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	דובר אורח	notMP	notMinister	-	-	-	-	person.eee6d2ac-644b-4b64-88ea-96746276511f	גרינברג, שירה	U	-
ParlaMint-IL_2009-10-21-18ptv139208	ParlaMint-IL_2009-10-21-18ptv139208.u9	18_ptv_139208.doc: ועדת הכספים, 2009-10-21 11:05	2009-10-21	ועדה	הכנסת ה-18	-	ישיבה מס' 176	2009-10-21	-	ייחוס	עברית	יושב ראש	MP	notMinister	יהדות התורה	יהדות התורה	Coalition	אי-מפלגתיות	person.526	גפני, משה	M	1952
