ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u1	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	French	-	-	-	1	13	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s6	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u1	s	Dutch	Neutral	neutral negative	1.726	1	13	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	French	-	-	-	8	157	174	11	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s11	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Negative	negative	-0.005	1	21	24	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s12	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Neutral	neutral negative	2.218	1	19	20	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s13	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Neutral	neutral negative	2.406	1	16	20	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s14	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Negative	mixed negative	0.670	1	44	48	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s15	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Neutral	neutral negative	1.938	1	12	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s16	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Neutral	neutral negative	2.345	1	5	6	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s17	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Neutral	neutral postive	2.864	1	13	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s18	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Dutch	Negative	mixed negative	1.128	1	27	28	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	French	-	-	-	9	273	301	14	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s61	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral postive	2.506	1	40	46	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s62	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral postive	2.517	1	34	37	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s63	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral negative	1.662	1	15	17	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s64	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral postive	2.904	1	21	22	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s65	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral postive	2.964	1	16	18	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s66	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral negative	2.442	1	25	28	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s67	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral postive	3.289	1	36	42	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s68	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Neutral	neutral postive	3.153	1	45	48	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s69	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Dutch	Positive	positive	4.905	1	41	43	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	French	-	-	-	4	76	86	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s71	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Dutch	Neutral	neutral postive	3.436	1	9	11	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s72	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Dutch	Neutral	neutral negative	1.898	1	23	25	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s73	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Dutch	Positive	mixed positive	3.854	1	24	27	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s74	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Dutch	Positive	positive	4.832	1	20	23	0	
