ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u1	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	Frans	-	-	-	1	13	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s6	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u1	s	Nederlands	Neutraal	neutraal-negatief	1.726	1	13	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	Frans	-	-	-	8	157	174	11	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s11	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Negatief	negatief	-0.005	1	21	24	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s12	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Neutraal	neutraal-negatief	2.218	1	19	20	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s13	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Neutraal	neutraal-negatief	2.406	1	16	20	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s14	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Negatief	gemengd negatief	0.670	1	44	48	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s15	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Neutraal	neutraal-negatief	1.938	1	12	14	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s16	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Neutraal	neutraal-negatief	2.345	1	5	6	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s17	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Neutraal	neutraal-positief	2.864	1	13	14	1	
