ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20170518100005	ParlaMint-DK_2017-05-18-20161-M99	u	Dansk	-	-	-	7	66	82	2	
ParlaMint-DK_20170518100005.seg1.1	ParlaMint-DK_20170518100005	s	Dansk	Positive	mixed positive	3.826	1	3	4	0	
ParlaMint-DK_20170518100005.seg1.2	ParlaMint-DK_20170518100005	s	Dansk	Neutral	neutral negative	1.937	1	10	14	2	
ParlaMint-DK_20170518100005.seg1.3	ParlaMint-DK_20170518100005	s	Dansk	Neutral	neutral negative	1.760	1	16	19	0	
ParlaMint-DK_20170518100005.seg1.4	ParlaMint-DK_20170518100005	s	Dansk	Neutral	neutral negative	2.469	1	11	14	0	
ParlaMint-DK_20170518100005.seg1.5	ParlaMint-DK_20170518100005	s	Dansk	Neutral	neutral postive	2.549	1	14	16	0	
ParlaMint-DK_20170518100005.seg1.6	ParlaMint-DK_20170518100005	s	Dansk	Neutral	neutral postive	3.126	1	9	11	0	
ParlaMint-DK_20170518100005.seg1.7	ParlaMint-DK_20170518100005	s	Dansk	Positive	mixed positive	4.075	1	3	4	0	
ParlaMint-DK_20170518100049	ParlaMint-DK_2017-05-18-20161-M99	u	Dansk	-	-	-	3	31	37	0	
ParlaMint-DK_20170518100049.seg2.1	ParlaMint-DK_20170518100049	s	Dansk	Neutral	neutral negative	2.132	1	19	22	0	
ParlaMint-DK_20170518100049.seg2.2	ParlaMint-DK_20170518100049	s	Dansk	Neutral	neutral postive	2.888	1	9	11	0	
ParlaMint-DK_20170518100049.seg2.3	ParlaMint-DK_20170518100049	s	Dansk	Positive	mixed positive	4.154	1	3	4	0	
ParlaMint-DK_20170518185027	ParlaMint-DK_2017-05-18-20161-M99	u	Dansk	-	-	-	5	40	49	0	
ParlaMint-DK_20170518185027.seg654.1	ParlaMint-DK_20170518185027	s	Dansk	Positive	mixed positive	4.451	1	6	7	0	
ParlaMint-DK_20170518185027.seg654.2	ParlaMint-DK_20170518185027	s	Dansk	Neutral	neutral postive	2.655	1	13	16	0	
ParlaMint-DK_20170518185027.seg654.3	ParlaMint-DK_20170518185027	s	Dansk	Neutral	neutral postive	2.645	1	9	11	0	
ParlaMint-DK_20170518185027.seg654.4	ParlaMint-DK_20170518185027	s	Dansk	Neutral	neutral postive	3.320	1	9	11	0	
ParlaMint-DK_20170518185027.seg654.5	ParlaMint-DK_20170518185027	s	Dansk	Positive	mixed positive	4.075	1	3	4	0	
ParlaMint-DK_20170518185041	ParlaMint-DK_2017-05-18-20161-M99	u	Dansk	-	-	-	7	119	140	0	
ParlaMint-DK_20170518185041.seg655.1	ParlaMint-DK_20170518185041	s	Dansk	Negative	mixed negative	1.391	1	51	61	0	
ParlaMint-DK_20170518185041.seg655.2	ParlaMint-DK_20170518185041	s	Dansk	Neutral	neutral postive	3.137	1	2	4	0	
ParlaMint-DK_20170518185041.seg655.3	ParlaMint-DK_20170518185041	s	Dansk	Neutral	neutral postive	2.582	1	10	12	0	
ParlaMint-DK_20170518185041.seg655.4	ParlaMint-DK_20170518185041	s	Dansk	Negative	mixed negative	0.502	1	10	12	0	
ParlaMint-DK_20170518185041.seg655.5	ParlaMint-DK_20170518185041	s	Dansk	Positive	mixed positive	4.450	1	23	24	0	
ParlaMint-DK_20170518185041.seg655.6	ParlaMint-DK_20170518185041	s	Dansk	Neutral	neutral postive	2.558	1	13	15	0	
ParlaMint-DK_20170518185041.seg655.7	ParlaMint-DK_20170518185041	s	Dansk	-	-	-	1	10	12	0	
