country	pm_id	lr	encoder	comment
UA	#fr.apu	C	AnnaKryvenko	en.wiki
UA	#fr.bl	CCL	AnnaKryvenko	The participating parties were C to CL (https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0) & https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	#fr.bpp	CR	AnnaKryvenko	en.wiki
UA	#fr.but	CCL	AnnaKryvenko	c.f. http://www.ucipr.org.ua/publicdocs/party_ideology2013.pdf ; https://razumkov.org.ua/uploads/article/2017_PARTII.pdf; https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#fr.byut	BT	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#fr.es	CR	AnnaKryvenko	en.wiki
UA	#fr.FU	CL	AnnaKryvenko	en.wiki
UA	#fr.hol	CR	AnnaKryvenko	en.wiki
UA	#fr.kpu	FL	AnnaKryvenko	en.wiki
UA	#fr.nf	CRR	AnnaKryvenko	en.wiki
UA	#fr.np1	CCL	AnnaKryvenko	en.wiki
UA	#fr.np2	CCL	AnnaKryvenko	en.wiki
UA	#fr.nru	CR	AnnaKryvenko	en.wiki
UA	#fr.nu02	CR	AnnaKryvenko	en.wiki
UA	#fr.nu06	CR	AnnaKryvenko	en.wiki
UA	#fr.nuns	CR	AnnaKryvenko	en.wiki
UA	#fr.ob	CCL	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#fr.opzzh	CCL	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#fr.ppu	C	AnnaKryvenko	en.wiki
UA	#fr.PRP	CR	AnnaKryvenko	en.wiki
UA	#fr.reg	C	AnnaKryvenko	en.wiki
UA	#fr.regU	C	AnnaKryvenko	en.wiki
UA	#fr.rp	SY	AnnaKryvenko	en.wiki
UA	#fr.rzm	CCR	AnnaKryvenko	It consisted of the former members of бБЮТ & бНУНС.
UA	#fr.sdpuo	CCL	AnnaKryvenko	uk.wiki
UA	#fr.sn	C	AnnaKryvenko	en.wiki
UA	#fr.sp	CR	AnnaKryvenko	en.wiki
UA	#fr.spu	L	AnnaKryvenko	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D1%96%D0%B0%D0%BB%D1%96%D1%81%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8
UA	#fr.sv	RRF	AnnaKryvenko	en.wiki
UA	#fr.ud	C	AnnaKryvenko	en.wiki
UA	#fr.unp	CR	AnnaKryvenko	en.wiki
UA	#fr.vdr	C	AnnaKryvenko	Related to the Party of Regions
UA	#gr.au	C	AnnaKryvenko	Related to АПУ
UA	#gr.dovnar	C	AnnaKryvenko	Renamed to the Revilal
UA	#gr.dvr	BT	AnnaKryvenko	en.wiki
UA	#gr.ed	C	AnnaKryvenko	Related to the Party of Regions
UA	#gr.eu	C	AnnaKryvenko	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D0%B0_%D1%94%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0
UA	#gr.nbl	CCL	AnnaKryvenko	The group leaders Lytvyn and Sharov represented C to CL parties.
UA	#gr.ps	BT	AnnaKryvenko	It consisted of the former members of the Party of Regions, Communists and Soyuz
UA	#gr.pvd	C	AnnaKryvenko	Related to the Party of Regions
UA	#gr.pw	C	AnnaKryvenko	en.wiki
UA	#gr.pzhim	CL	AnnaKryvenko	en.wiki
UA	#gr.pzm	CR	AnnaKryvenko	en.wiki
UA	#gr.rzm	CCR	AnnaKryvenko	It consisted of the former members of бБЮТ & бНУНС.
UA	#gr.vd	C	AnnaKryvenko	Related to the Party of Regions
UA	#gr.vdr	C	AnnaKryvenko	Related to the Party of Regions
UA	#gr.vu	BT	AnnaKryvenko	 split from the Opposition Platform — For Life, Servant of the People, and Dovira
UA	#gr.zm	CR	AnnaKryvenko	en.wiki
UA	#pp.Agro1	C	AnnaKryvenko	en.wiki
UA	#pp.Agro2	C	AnnaKryvenko	en.wiki
UA	#pp.Baloha	C	AnnaKryvenko	en.wiki
