ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	ParlaMint-BE_2020-06-17-55-commissie-ic210x	u	Dutch	-	-	-	11	157	172	4	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s18	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Negative	negative	0.224	1	25	27	3	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s19	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Negative	mixed negative	0.787	1	13	14	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s20	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Negative	mixed negative	1.364	1	17	19	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s21	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Neutral	neutral postive	2.527	1	25	27	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s22	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Neutral	neutral postive	2.553	1	17	19	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s23	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Negative	mixed negative	0.792	1	8	9	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s24	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Neutral	neutral negative	2.030	1	13	14	1	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s25	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Negative	mixed negative	0.716	1	12	13	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s26	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Neutral	neutral postive	2.507	1	9	10	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s27	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Neutral	neutral negative	2.479	1	12	13	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s28	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	s	Dutch	Neutral	neutral postive	2.681	1	6	7	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	ParlaMint-BE_2020-06-17-55-commissie-ic210x	u	Dutch	-	-	-	8	101	114	4	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s30	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Neutral	neutral postive	2.719	1	18	20	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s31	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Positive	positive	4.899	1	25	29	2	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s32	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Negative	negative	0.284	1	13	14	1	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s33	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Neutral	neutral postive	3.142	1	6	7	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s34	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Neutral	neutral negative	2.294	1	8	9	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s35	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Neutral	neutral negative	1.980	1	9	10	1	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s36	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Neutral	neutral postive	2.810	1	4	5	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s37	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	s	Dutch	Negative	mixed negative	1.047	1	18	20	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.u89	ParlaMint-BE_2020-06-17-55-commissie-ic210x	u	French	-	-	-	1	13	15	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s1333	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u89	s	Dutch	Neutral	neutral postive	3.469	1	13	15	0	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.u90	ParlaMint-BE_2020-06-17-55-commissie-ic210x	u	Dutch	-	-	-	2	63	70	7	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s1337	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u90	s	Dutch	Neutral	neutral negative	2.175	1	32	34	3	
ParlaMint-BE_2020-06-17-55-commissie-ic210x.s1338	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u90	s	Dutch	Neutral	neutral postive	2.592	1	31	36	4	
