ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA_2016-04-21-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 4, sitting day 2016-04-21, n0 [ParlaMint-en.ana SAMPLE]	2016-04-21	Unicameralism	8	4		2016-04-21		Reference	Chairperson	MP	-				Володимирович Парубій, Андрій	M	1971
ParlaMint-UA_2016-04-21-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 4, sitting day 2016-04-21, n0 [ParlaMint-en.ana SAMPLE]	2016-04-21	Unicameralism	8	4		2016-04-21		Reference	Regular	MP	-	фБПП	Фракція партії «Блок Петра Порошенка»	Coalition	Віталійович Карпунцов, Валерій	M	1978
ParlaMint-UA_2016-04-21-m0.u250	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 4, sitting day 2016-04-21, n0 [ParlaMint-en.ana SAMPLE]	2016-04-21	Unicameralism	8	4		2016-04-21		Reference	Regular	MP	-	фБПП	Фракція партії «Блок Петра Порошенка»	Coalition	Валентинівна Бєлькова, Ольга	F	1975
ParlaMint-UA_2016-04-21-m0.u251	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 4, sitting day 2016-04-21, n0 [ParlaMint-en.ana SAMPLE]	2016-04-21	Unicameralism	8	4		2016-04-21		Reference	Chairperson	MP	-				Володимирович Парубій, Андрій	M	1971
