Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-GR-en_2017-06-09-S1-commons	ParlaMint-GR_2017-06-09-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 132, 2017-06-09	2017-06-09	Unicameralism	17	2	-	132	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	Education
ParlaMint-GR-en_2017-06-09-S1-commons	ParlaMint-GR_2017-06-09-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 132, 2017-06-09	2017-06-09	Unicameralism	17	2	-	132	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ΚΑΡΡΑΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ-ΔΗΜΗΤΡΙΟΣ	Karras, Geōrgios Dīmītrios	M	-	Domestic Commerce
ParlaMint-GR-en_2017-06-09-S1-commons	ParlaMint-GR_2017-06-09-S1-commons.u510	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 132, 2017-06-09	2017-06-09	Unicameralism	17	2	-	132	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	Other
ParlaMint-GR-en_2017-06-09-S1-commons	ParlaMint-GR_2017-06-09-S1-commons.u511	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 132, 2017-06-09	2017-06-09	Unicameralism	17	2	-	132	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	Transportation
