ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
-	HR	HDS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	HDS, HSLS, HDSSB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	HDSSB	3107	HDSSB	2014	8.4	5.0	-	-	5.6	-	-	6.8	7.4	-	81952	5.1	-	-	-	4.6	0	4.1	2011	-	6.1	1.7	8.4	-	-	-	1.7	-	2.6	6.1	1.2	-	-	-	3.3	-	4.4	-	4	-	4.8	-	6.2	3.5	1	9	8	8.6	-	-	6.7	-	0.0	-	7.5	-	-	4.4	-	4	12	18	-	-	8.4	8.6	-	-	-	3.8	-	2.4	-	8.5	-	4	-	8.6	5.2	-	8.2	-	-	-	3	2020.1
1999-2019	HR	HDSSB	3107	HDSSB	2019	8.4	5.1	5.2	1.5	4.6	-	2.8	5.5	7.8	-	81952	4	-	-	-	4.3	0	3.6	2016	3.4	5.6	-	8.4	-	-	2.2	-	3.8	2.7	6.2	3.7	-	-	-	-	-	2.5	-	3.5	-	3.9	-	4.3	-	1	24	8	8.5	3.8	2.3	6.6	-	0.0	1.3	8.8	5.6	-	-	8.9	-	-	-	1.2	4	8	8.7	5.5	8.4	5.8	3.7	-	1.5	-	7.9	0.9	0.7	-	8.2	3.9	-	8.1	-	-	-	1.2	2020.1
1999-2019	HR	HDZ	3101	HDZ	2014	7.3	5.3	-	-	6.6	-	-	2.8	7	-	81711	4.8	-	-	-	6.4	0	5.3	2011	-	6.6	27.6	6.8	-	-	-	1.6	-	4.4	6.9	1.6	-	-	-	5.8	-	6.1	-	6.1	-	6.2	-	7.7	3.8	1	9	4	8.2	-	-	8.2	-	0.0	-	7.1	-	-	2.1	-	12	13	15	-	-	7.8	8.1	-	-	-	5.5	-	6.6	-	8.4	-	27.2	-	8.1	6.6	-	6.6	-	-	-	21.9	2020.1
1999-2019	HR	HDZ	3101	HDZ	2019	6.9	4.8	4.4	4.1	7.4	-	1.5	1.1	6.6	-	81711	3.2	-	-	-	4.7	0	4	2016	3	6.4	22.7	6.1	-	-	4.3	-	1.9	5.2	6.6	3.1	-	-	-	-	-	5.1	-	5.9	-	6.7	-	9.0	-	1	24	4	7.1	4.8	6.6	7.5	-	1.0	2.7	7.7	5.5	-	-	8.4	-	-	-	3.5	4.0	7.7	7.6	1.8	5.6	5.9	4.5	-	7	-	7.5	2.0	41.5	-	6.8	5.1	-	6.0	-	-	-	34.6	2020.1
-	HR	HGS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	HKS	3119	HKS	2019	9.3	6.0	4.5	1.5	3.6	-	4.4	7.2	8.6	-	-	6.5	-	-	-	5.6	0	5.4	2016	2.3	6.1	4.3	9.4	-	-	1.4	-	1.9	1.8	4.6	2.2	-	-	-	-	-	1.8	-	2.8	-	2.6	-	5.9	-	1	24	2	9.5	2.8	0.6	8.7	-	0.0	0.7	9.3	7.9	-	-	8.9	-	-	-	0.7	7	9.2	9.5	7.4	8.3	5.1	5.1	-	7.8	-	9.3	1.7	-	-	9.5	5.2	-	6.7	-	-	-	-	2020.1
1999-2019	HR	HNS	3105	HNS	2014	4.0	6.1	-	-	7.6	-	-	1.4	2.5	-	81712	5.3	-	-	-	7.3	0	6.3	2011	-	6.7	7.5	1.6	-	-	-	1	-	5.4	6.9	1.1	-	-	-	6	-	6.5	-	6.8	-	7.0	-	9.3	5.6	1	9	3	1.8	-	-	7.7	-	1.0	-	3	-	-	3.7	-	8	13	5	-	-	2.2	1.4	-	-	-	6.2	-	4.4	-	1.7	-	8.6	-	1.3	6.6	-	1.9	-	-	-	6.7	2020.1
1999-2019	HR	HNS	3105	HNS	2019	4.3	6.3	2.8	2.3	7.5	-	0.7	1.0	3.1	-	81712	3.4	-	-	-	7.1	0	6.5	2016	3.0	6.5	2.6	2.8	-	-	5.1	-	1.1	5.5	6.2	1.5	-	-	-	-	-	5.2	-	6.6	-	6.6	-	7.4	-	1	24	3	1.9	3.3	1.5	7.3	-	1.0	2.0	4.4	3.4	-	-	8.7	-	-	-	1.7	3.1	3.9	2.4	2.1	3.5	4.8	6.0	-	4	-	1.4	1.7	6.1	-	1.6	6.6	-	2.1	-	-	-	5.4	2020.1
-	HR	HRAST	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	HRID	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	HRVATSKI_LABURISTI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	HS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	HSD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	HSLS	3104	HSLS	2014	5.3	7.1	-	-	7.6	-	-	2.9	3.3	-	81410	6.2	-	-	-	7.7	0	7.7	2011	-	6.7	0.6	4.1	-	-	-	1.1	-	4.6	6.6	1	-	-	-	6	-	5.8	-	6	-	6.3	-	6.7	5	1	9	3	3.2	-	-	7	-	0.0	-	4.3	-	-	3.5	-	13	5	8	-	-	4.8	4.6	-	-	-	7	-	4.3	-	4.1	-	0	-	2.9	7.4	-	3.5	-	-	-	3	2020.1
