Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-FR_2020-10-01-O1003	ParlaMint-FR_2020-10-01-O1003.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 3, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N003)	-	3. séance	-	COVID	French	Chairperson	MP	notMinister	SOC	Socialistes et apparentés	-	Centre-left to left	PA1592	Habib, David	M	1961	Health
ParlaMint-FR_2020-10-01-O1003	ParlaMint-FR_2020-10-01-O1003.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 3, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N003)	-	3. séance	-	COVID	French	Chairperson	MP	notMinister	SOC	Socialistes et apparentés	-	Centre-left to left	PA1592	Habib, David	M	1961	Other
ParlaMint-FR_2020-10-01-O1003	ParlaMint-FR_2020-10-01-O1003.u431	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 3, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N003)	-	3. séance	-	COVID	French	Chairperson	MP	notMinister	SOC	Socialistes et apparentés	-	Centre-left to left	PA1592	Habib, David	M	1961	Other
ParlaMint-FR_2020-10-01-O1003	ParlaMint-FR_2020-10-01-O1003.u432	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 3, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N003)	-	3. séance	-	COVID	French	Chairperson	MP	notMinister	SOC	Socialistes et apparentés	-	Centre-left to left	PA1592	Habib, David	M	1961	Government Operations
