ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BA_2022-06-30-0.u3743	ParlaMint-BA_2022-06-30-0	u	Bosnian	-	-	-	9	191	219	15	
ParlaMint-BA_2022-06-30-0.u3743.seg0.1	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Positive	mixed positive	4.487	1	19	21	1	
ParlaMint-BA_2022-06-30-0.u3743.seg0.2	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Neutral	neutral postive	3.351	1	30	33	3	
ParlaMint-BA_2022-06-30-0.u3743.seg0.3	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Neutral	neutral postive	3.071	1	20	24	0	
ParlaMint-BA_2022-06-30-0.u3743.seg0.4	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Neutral	neutral postive	2.520	1	35	38	4	
ParlaMint-BA_2022-06-30-0.u3743.seg0.5	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Neutral	neutral postive	3.210	1	57	67	5	
ParlaMint-BA_2022-06-30-0.u3743.seg0.6	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Positive	mixed positive	3.597	1	14	16	1	
ParlaMint-BA_2022-06-30-0.u3743.seg0.7	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Positive	mixed positive	3.570	1	6	7	0	
ParlaMint-BA_2022-06-30-0.u3743.seg0.8	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Neutral	neutral postive	3.405	1	7	8	0	
ParlaMint-BA_2022-06-30-0.u3743.seg0.9	ParlaMint-BA_2022-06-30-0.u3743	s	Bosnian	Positive	mixed positive	3.521	1	3	5	1	
ParlaMint-BA_2022-06-30-0.u3744	ParlaMint-BA_2022-06-30-0	u	Bosnian	-	-	-	8	255	284	10	
ParlaMint-BA_2022-06-30-0.u3744.seg0.1	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Negative	negative	-0.130	1	35	40	3	
ParlaMint-BA_2022-06-30-0.u3744.seg0.2	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Negative	negative	-0.002	1	10	12	0	
ParlaMint-BA_2022-06-30-0.u3744.seg0.3	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Negative	negative	0.023	1	36	37	2	
ParlaMint-BA_2022-06-30-0.u3744.seg0.4	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Neutral	neutral negative	2.204	1	25	28	0	
ParlaMint-BA_2022-06-30-0.u3744.seg0.5	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Negative	negative	0.080	1	22	26	0	
ParlaMint-BA_2022-06-30-0.u3744.seg0.6	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Neutral	neutral negative	2.214	1	46	49	0	
ParlaMint-BA_2022-06-30-0.u3744.seg0.7	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Neutral	neutral postive	2.979	1	47	52	2	
ParlaMint-BA_2022-06-30-0.u3744.seg0.8	ParlaMint-BA_2022-06-30-0.u3744	s	Bosnian	Negative	negative	0.274	1	34	40	3	
ParlaMint-BA_2022-06-30-0.u3837	ParlaMint-BA_2022-06-30-0	u	Bosnian	-	-	-	3	74	80	1	
ParlaMint-BA_2022-06-30-0.u3837.seg0.1	ParlaMint-BA_2022-06-30-0.u3837	s	Bosnian	Negative	negative	0.026	1	38	41	0	
ParlaMint-BA_2022-06-30-0.u3837.seg0.2	ParlaMint-BA_2022-06-30-0.u3837	s	Bosnian	Negative	negative	0.226	1	18	20	0	
ParlaMint-BA_2022-06-30-0.u3837.seg0.3	ParlaMint-BA_2022-06-30-0.u3837	s	Bosnian	Negative	negative	-0.153	1	18	19	1	
ParlaMint-BA_2022-06-30-0.u3838	ParlaMint-BA_2022-06-30-0	u	Bosnian	-	-	-	9	93	110	6	
ParlaMint-BA_2022-06-30-0.u3838.seg0.1	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Positive	mixed positive	4.288	1	3	4	1	
ParlaMint-BA_2022-06-30-0.u3838.seg0.2	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Neutral	neutral postive	3.036	1	5	7	0	
ParlaMint-BA_2022-06-30-0.u3838.seg0.3	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Positive	mixed positive	3.556	1	21	23	2	
ParlaMint-BA_2022-06-30-0.u3838.seg0.4	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Neutral	neutral postive	2.567	1	1	2	0	
ParlaMint-BA_2022-06-30-0.u3838.seg0.5	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Positive	mixed positive	4.326	1	31	37	2	
ParlaMint-BA_2022-06-30-0.u3838.seg0.6	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Positive	mixed positive	4.078	1	14	15	1	
ParlaMint-BA_2022-06-30-0.u3838.seg0.7	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Positive	mixed positive	3.620	1	11	13	0	
ParlaMint-BA_2022-06-30-0.u3838.seg0.8	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Positive	positive	4.711	1	2	3	0	
ParlaMint-BA_2022-06-30-0.u3838.seg0.9	ParlaMint-BA_2022-06-30-0.u3838	s	Bosnian	Neutral	neutral postive	3.340	1	5	6	0	
