Country	ID	Surname	Forename	Sex
HR	AdamJene	Jene	Adam	M
HR	AdanićStjepan	Stjepan	Adanić	U
HR	AdlešičĐurđa	Đurđa	Adlešič	F
HR	AhelIrena	Irena	Ahel	F
HR	AhmetovićMirela	Mirela	Ahmetović	F
HR	AladrovićJosip	Josip	Aladrović	M
HR	AleksićGoran	Goran	Aleksić	M
HR	AlfirevMarija	Marija	Alfirev	U
HR	AmbrušecLjubica	Ljubica	Ambrušec	F
HR	AndrićIvo	Ivo	Andrić	M
HR	AndričevićRoko	Roko	Andričević	U
HR	AntešićZdenko	Zdenko	Antešić	M
HR	AntičevićMarinovićIngrid	Ingrid	Antičević Marinović	F
HR	AntičićTome	Tome	Antičić	U
HR	AntolićVuporaBarbara	Barbara	Antolić Vupora	F
HR	AntolovićJadran	Jadran	Antolović	U
HR	AntonićMario	Mario	Antonić	U
HR	AntunovićŽeljka	Željka	Antunović	F
HR	AnušićIvan	Ivan	Anušić	M
HR	ArapovićFranjo	Franjo	Arapović	M
HR	ArlovićMato	Mato	Arlović	M
HR	ArtukovićKunštSandra	Sandra	Artuković Kunšt	U
HR	AčkarKrešimir	Krešimir	Ačkar	M
HR	BabićAnte	Ante	Babić	M
HR	BabićMario	Mario	Babić	U
HR	BabićVedran	Vedran	Babić	M
HR	BabićVera	Vera	Babić	U
HR	BabićPetričevićZdenka	Zdenka	Babić-Petričević	F
HR	BagarićAnto	Anto	Bagarić	M
HR	BagarićIvan	Ivan	Bagarić	M
HR	BagarićLidija	Lidija	Bagarić	F
HR	BagićSnježana	Snježana	Bagić	U
HR	BajićMladen	Mladen	Bajić	U
HR	BajsDamir	Damir	Bajs	M
HR	BajtMarija	Marija	Bajt	F
HR	BakićDamir	Damir	Bakić	M
HR	BakotaGordan	Gordan	Bakota	U
HR	BalićMarijana	Marijana	Balić	F
HR	BaloevićJakša	Jakša	Baloević	M
HR	BanVlahekBoška	Boška	Ban Vlahek	F
HR	BanacIvo	Ivo	Banac	M
HR	BanićMartina	Martina	Banić	F
HR	BanožićMario	Mario	Banožić	M
HR	BaradićNikolina	Nikolina	Baradić	F
HR	BaranovićPetar	Petar	Baranović	M
HR	BarbarićNevenko	Nevenko	Barbarić	M
HR	BarbićJakša	Jakša	Barbić	U
HR	BaričevićDanica	Danica	Baričević	F
HR	BaričevićMartin	Martin	Baričević	M
HR	BarišićDražen	Dražen	Barišić	M
HR	BarišićPavo	Pavo	Barišić	U
HR	BarišićZoran	Zoran	Barišić	U
HR	BarrosoJoseManuel	Jose Manuel	Barroso	U
HR	BartolčićJosip	Josip	Bartolčić	U
HR	BartulicaStephenNikola	Stephen Nikola	Bartulica	M
HR	BatinićMilorad	Milorad	Batinić	M
HR	BaukArsen	Arsen	Bauk	M
HR	BačićAnte	Ante	Bačić	M
HR	BačićBranko	Branko	Bačić	M
HR	BačićKazimir	Kazimir	Bačić	U
HR	BačićStjepan	Stjepan	Bačić	M
HR	BačićŽeljko	Željko	Bačić	U
HR	BašićSilvio	Silvio	Bašić	U
HR	BebićLuka	Luka	Bebić	M
HR	BedekovićVesna	Vesna	Bedeković	F
HR	BegonjaJosip	Josip	Begonja	M
HR	BegovićLeo	Leo	Begović	U
HR	BekavacIvan	Ivan	Bekavac	U
HR	BekavacMarijan	Marijan	Bekavac	M
HR	BelJeanPierre	Jean Pierre	Bel	U
HR	BeljakKrešo	Krešo	Beljak	M
HR	BeljoLučićRužica	Ružica	Beljo Lučić	U
HR	BenićNevenka	Nevenka	Benić	U
HR	BenčićJosip	Josip	Benčić	M
HR	BenčićSandra	Sandra	Benčić	F
HR	BenčićTerezija	Terezija	Benčić	U
HR	BernardićDavor	Davor	Bernardić	M
HR	BerošVili	Vili	Beroš	M
