country	id	surname	forename	sex
BA	LakićMilica	Milica	Lakić	F
BA	LasićMile	Mile	Lasić	M
BA	LažetićDragana	Dragana	Lažetić	F
BA	LekoDamir	Damir	Leko	M
BA	LimovTihomir	Tihomir	Limov	M
BA	LisakSead	Sead	Lisak	M
BA	LjubićDamir	Damir	Ljubić	M
BA	LokmićMisiračaJadranka	Jadranka	Lokmić Misirača	F
BA	LovrićLjiljana	Ljiljana	Lovrić	F
BA	LovrićVelimir	Velimir	Lovrić	M
BA	LučićMilošJovićNedeljko	Miloš	Lučić	M
BA	LučićMiloš	Miloš	Lučić	M
BA	MahmutovićDževad	Dževad	Mahmutović	M
BA	MajićPetar	Petar	Majić	M
BA	MalićMilomir	Milomir	Malić	M
BA	MalkićAbduselam	Abduselam	Malkić	M
BA	MandićHelena	Helena	Mandić	F
BA	MandićMladen	Mladen	Mandić	M
BA	MarinSlavko	Slavko	Marin	M
BA	MarinkovićVaso	Vaso	Marinković	M
BA	MarinovićIvica	Ivica	Marinović	M
BA	MarićLjerka	Ljerka	Marić	F
BA	MarjanacŽivko	Živko	Marjanac	M
BA	MarjanovićDarko	Darko	Marjanović	M
BA	MarkovićPero	Pero	Marković	M
BA	MatanovićSlavko	Slavko	Matanović	M
BA	MatićBožidar	Božidar	Matić	M
BA	MačkićSead	Sead	Mačkić	M
BA	MađarPero	Pero	Mađar	M
BA	MašinovićMuharem	Muharem	Mašinović	M
BA	MekićDragiša	Dragiša	Mekić	M
BA	MektićDragan	Dragan	Mektić	M
BA	MerdžoJosip	Josip	Merdžo	M
BA	MervanRamiz	Ramiz	Mervan	M
BA	MešanovićHamed	Hamed	Mešanović	M
BA	MihajlovićBožo	Božo	Mihajlović	M
BA	MihajlovićSvetozar	Svetozar	Mihajlović	M
BA	MijatovićVojin	Vojin	Mijatović	M
BA	MikerevićDragan	Dragan	Mikerević	M
BA	MikićDanijela	Danijela	Mikić	F
BA	MikićStjepan	Stjepan	Mikić	M
BA	MiletićDragica	Dragica	Miletić	F
BA	MiletićIvan	Ivan	Miletić	M
BA	MiletićMate	Mate	Miletić	M
BA	MilinićGordan	Gordan	Milinić	M
BA	MilinovićZdenko	Zdenko	Milinović	M
BA	MilićevićĐorđe	Đorđe	Milićević	M
BA	MiočGabrijel	Gabrijel	Mioč	M
BA	MitrovićVojin	Vojin	Mitrović	M
BA	MitrovićHadžiJovan	Jovan	Mitrović Hadži	M
BA	MišićIvica	Ivica	Mišić	M
BA	MlaćoDževad	Dževad	Mlaćo	M
BA	MuharemImamović	Imamović	Muharem	M
BA	MuminovićZada	Zada	Muminović	F
BA	MuratovićHasan	Hasan	Muratović	M
BA	MuratovićZakira	Zakira	Muratović	F
BA	MušovićSamir	Samir	Mušović	M
BA	NekićDževad	Dževad	Nekić	M
BA	NeškovićDušan	Dušan	Nešković	M
BA	NikićStjepan	Stjepan	Nikić	M
BA	NikolPiter	Piter	Nikol	M
BA	NinkovićBojan	Bojan	Ninković	M
BA	NinkovićRanko	Ranko	Ninković	M
BA	NišićSvetozar	Svetozar	Nišić	M
BA	NovkovićMilorad	Milorad	Novković	M
BA	OdobašićIzet	Izet	Odobašić	M
BA	OmersoftićAmila	Amila	Omersoftić	F
BA	OrtonFrank	Frank	Orton	M
BA	PalavrćSeada	Seada	Palavrć	F
BA	PandurevićMilorad	Milorad	Pandurević	M
BA	PandurevićMiodrag	Miodrag	Pandurević	M
BA	ParavacBorislav	Borislav	Paravac	M
BA	ParavlićSeada	Seada	Paravlić	F
BA	PašalićIvica	Ivica	Pašalić	M
BA	PašićHilmo	Hilmo	Pašić	M
BA	PejićIgor	Igor	Pejić	M
BA	PejićNikola	Nikola	Pejić	M
BA	PelivanJure	Jure	Pelivan	M
BA	PerićBranko	Branko	Perić	M
BA	PerkanovićZoran	Zoran	Perkanović	M
BA	PećanacBrane	Brane	Pećanac	M
BA	PeštoErmin	Ermin	Pešto	M
BA	PeštoNermin	Nermin	Pešto	M
BA	PilavaAmir	Amir	Pilava	M
BA	PilicaJasmin	Jasmin	Pilica	M
BA	PiterNikol	Nikol	Piter	M
BA	PivićNezir	Nezir	Pivić	M
BA	PlehHasan	Hasan	Pleh	M
BA	PoljaševićVeselin	Veselin	Poljašević	M
BA	PopadićMilana	Milana	Popadić	F
BA	PopadićNada	Nada	Popadić	F
BA	PopovićVitomir	Vitomir	Popović	M
BA	PrimoracDražen	Dražen	Primorac	M
BA	PrimoracVilim	Vilim	Primorac	M
BA	PrlićJadranko	Jadranko	Prlić	M
BA	PudarZorka	Zorka	Pudar	F
BA	PuhalacSlobodan	Slobodan	Puhalac	M
BA	PuticaMarija	Marija	Putica	F
BA	RackovićĐorđe	Đorđe	Racković	M
BA	RadišićŽivko	Živko	Radišić	M
BA	RadovanovićBećirbašić	Bećirbašić	Radovanović	M
BA	RadovanovićNikola	Nikola	Radovanović	M
BA	RadovićNade	Nade	Radović	M
BA	RaduljSlobodan	Slobodan	Radulj	M
BA	RajilićSnježana	Snježana	Rajilić	F
BA	ReljićDragoljub	Dragoljub	Reljić	M
BA	RečicaNudžeim	Nudžeim	Rečica	M
BA	RidžalNaida	Naida	Ridžal	F
BA	RijanićŽeljko	Željko	Rijanić	M
BA	RizvanbegovićFahrudin	Fahrudin	Rizvanbegović	M
BA	RizvoSamir	Samir	Rizvo	M
BA	RudovićVido	Vido	Rudović	M
BA	SadikovićTarik	Tarik	Sadiković	M
BA	SadovićTarik	Tarik	Sadović	M
BA	SalihovićGoran	Goran	Salihović	M
BA	SalkićMirsad	Mirsad	Salkić	M
BA	SalkičevićDizdarevićErmina	Ermina	Salkićević Dizdarević	F
BA	SamardžijaŽeljko	Željko	Samardžija	M
BA	SandićLjubomir	Ljubomir	Sandić	M
BA	SarajlićSaša	Saša	Sarajlić	M
BA	SavićNevenka	Nevenka	Savić	F
BA	SavićSnježana	Snježana	Savić	F
BA	SladojeNikola	Nikola	Sladoje	M
BA	SmajićMuhamed	Muhamed	Smajić	M
BA	SoftićSenad	Senad	Softić	M
BA	SrkalovićMuris	Muris	Srkalović	M
BA	StanićRadenko	Radenko	Stanić	M
BA	StanišićRajka	Rajka	Stanišić	F
BA	TadićGordana	Gordana	Tadić	F
BA	TegeltijaMilan	Milan	Tegeltija	M
BA	TegeltijaZoran	Zoran	Tegeltija	M
BA	TerizićAdnan	Adnan	Terizić	M
BA	TerzićAdman	Adman	Terzić	M
BA	TešanovićZoran	Zoran	Tešanović	M
BA	TinjakHamdo	Hamdo	Tinjak	M
BA	TodorovićBranka	Branka	Todorović	F
BA	TodorovićJovan	Jovan	Todorović	M
BA	TomićJadranko	Jadranko	Tomić	M
BA	TomićNeven	Neven	Tomić	M
BA	TopićLidija	Lidija	Topić	F
BA	TopčagićOsman	Osman	Topčagić	M
BA	TrišićLjiljana	Ljiljana	Trišić	F
BA	TrninićBožana	Božana	Trninić	F
BA	TrnkaKasim	Kasim	Trnka	M
BA	TulumovićMuhamed	Muhamed	Tulumović	M
BA	TučićBoris	Boris	Tučić	M
BA	TuševljakMilorad	Milorad	Tuševljak	M
BA	TuševljakSpasoje	Spasoje	Tuševljak	M
BA	UsoracVladimir	Vladimir	Usorac	M
BA	VejoDamir	Damir	Vejo	M
BA	VidovićRudo	Rudo	Vidović	M
BA	VignjevićLidija	Lidija	Vignjević	F
BA	VilićMedina	Medina	Vilić	F
BA	VukojaMarin	Marin	Vukoja	M
BA	VukojeMarin	Marin	Vukoje	M
BA	VukovićMirko	Mirko	Vuković	M
BA	VukovićSlaviša	Slaviša	Vuković	F
BA	VukovićVjekoslav	Vjekoslav	Vuković	M
BA	ZahirovićŠaban	Šaban	Zahirović	M
BA	ZekovićMilad	Milad	Zeković	M
BA	ZeljkoZoran	Zoran	Zeljko	M
BA	ZeljkovićSuad	Suad	Zeljković	M
BA	ZirojevićMladen	Mladen	Zirojević	M
BA	ZjajićMilan	Milan	Zjajić	M
BA	ZovkoMirko	Mirko	Zovko	M
BA	ZubakKrešimir	Krešimir	Zubak	M
BA	ĆemalovićNermina	Nermina	Ćemalović	F
BA	ĆosićGoran	Goran	Ćosić	M
BA	ĆosićIvan	Ivan	Ćosić	M
BA	ČamparaAljoša	Aljoša	Čampara	M
BA	ČauševićKemal	Kemal	Čaušević	M
BA	ČavarMladen	Mladen	Čavar	M
BA	ČečuraZdenka	Zdenka	Čečura	F
BA	ČorićNino	Nino	Čorić	M
BA	ČorićValentin	Valentin	Čorić	M
BA	ĐedovićMuhamed	Muhamed	Đedović	M
BA	ĐerićDelivoje	Delivoje	Đerić	M
BA	ĐurđićNeđo	Neđo	Đurđić	M
BA	ŠakotaEduard	Eduard	Šakota	M
BA	ŠakotaRanko	Ranko	Šakota	M
BA	ŠantićAhmet	Ahmet	Šantić	M
BA	ŠegoMilenko	Milenko	Šego	M
BA	ŠegotNikola	Nikola	Šegot	M
BA	ŠehićVehid	Vehid	Šehić	M
BA	ŠekaraMirko	Mirko	Šekara	M
BA	ŠerifovićSabrija	Sabrija	Šerifović	M
BA	ŠkrbićMirko	Mirko	Škrbić	M
BA	ŠmitKristijan	Kristijan	Šmit	M
BA	ŠpirićIlija	Ilija	Špirić	M
BA	ŠurjanLaslo	Laslo	Šurjan	M
BA	ŽigićJasenka	Jasenka	Žigić	F
BA	ŽivaljHusein	Husein	Živalj	M
BA	ŽivkovićGordana	Gordana	Živković	F
BA	ŽugaMirsad	Mirsad	Žuga	M
