country	id	surname	forename	sex
HR	AdanićStjepan	Stjepan	Adanić	M
HR	AlfirevMarija	Marija	Alfirev	F
HR	AndričevićRoko	Roko	Andričević	M
HR	AntičićTome	Tome	Antičić	M
HR	AntolovićJadran	Jadran	Antolović	M
HR	AntonićMario	Mario	Antonić	M
HR	ArtukovićKunštSandra	Sandra	Artuković Kunšt	F
HR	BabićMario	Mario	Babić	M
HR	BabićVera	Vera	Babić	F
HR	BagićSnježana	Snježana	Bagić	F
HR	BajićMladen	Mladen	Bajić	M
HR	BakotaGordan	Gordan	Bakota	M
HR	BarbićJakša	Jakša	Barbić	M
HR	BarišićPavo	Pavo	Barišić	M
HR	BarišićZoran	Zoran	Barišić	M
HR	BarrosoJoseManuel	Jose Manuel	Barroso	M
HR	BartolčićJosip	Josip	Bartolčić	M
HR	BačićKazimir	Kazimir	Bačić	M
HR	BačićŽeljko	Željko	Bačić	M
HR	BašićSilvio	Silvio	Bašić	M
HR	BegovićLeo	Leo	Begović	M
HR	BekavacIvan	Ivan	Bekavac	M
HR	BelJeanPierre	Jean Pierre	Bel	M
HR	BeljoLučićRužica	Ružica	Beljo Lučić	F
HR	BenićNevenka	Nevenka	Benić	F
HR	BenčićTerezija	Terezija	Benčić	F
HR	BigovićŽeljko	Željko	Bigović	M
HR	BiščevićHidajet	Hidajet	Biščević	M
HR	BlaževićDavor	Davor	Blažević	M
HR	BlaževićJadranka	Jadranka	Blažević	F
HR	BobanTomislav	Tomislav	Boban	M
HR	BogdanLuka	Luka	Bogdan	M
HR	BolfekMirko	Mirko	Bolfek	M
HR	BorrellFontellesJosep	Josep	Borrel Fontelles	M
HR	BošnjakIvica	Ivica	Bošnjak	M
HR	BošnjakSanja	Sanja	Bošnjak	F
HR	BožanićTonči	Tonči	Božanić	M
HR	BožikovVelimir	Velimir	Božikov	M
HR	BrasseurAnne	Anne	Brasseur	M
HR	BreglecDražen	Dražen	Breglec	M
HR	BrnjacNikolina	Nikolina	Brnjac	F
HR	BrstiloMate	Mate	Brstilo	M
HR	BubićIvan	Ivan	Bubić	M
HR	BukKristijan	Kristijan	Buk	M
HR	BukaricaIvan	Ivan	Bukarica	M
HR	BuljanAjelićIvana	Ivana	Buljan Ajelić	F
HR	BuljevićJosip	Josip	Buljević	M
HR	BunetaAnđelka	Anđelka	Buneta	F
HR	CerovacMladen	Mladen	Cerovac	M
HR	CesarikMarijan	Marijan	Cesarik	M
HR	CrnojaMijo	Mijo	Crnoja	M
HR	CvetnićSlavko	Slavko	Cvetnić	M
HR	CvitanDinko	Dinko	Cvitan	M
HR	DamjanovićIvan	Ivan	Damjanović	M
HR	DeHoopaScheferJaap	Jaap	De Hoopa Schefer	M
HR	DivjakBlaženka	Blaženka	Divjak	F
HR	DokozaHrvoje	Hrvoje	Dokoza	M
HR	DolencHrvoje	Hrvoje	Dolenc	M
HR	DrobnjakVladimir	Vladimir	Drobnjak	M
HR	DrpićAnte	Ante	Drpić	M
HR	DružakTomislav	Tomislav	Družak	M
HR	DružićIvo	Ivo	Družić	M
HR	DujmovićVukovićMarina	Marina	Dujmović Vuković	F
HR	DulibićTomislav	Tomislav	Dulibić	M
HR	ErlićŠime	Šime	Erlić	M
HR	FilipovićDavor	Davor	Filipović	M
HR	FičorMiljenko	Miljenko	Fičor	M
HR	FrasBojan	Bojan	Fras	M
HR	FriganovićRuđer	Ruđer	Friganović	M
HR	FuchsRadovan	Radovan	Fuchs	M
HR	GabelicaŠupljikaMarija	Marija	Gabelica Šupiljka	F
HR	GalićMirko	Mirko	Galić	M
HR	GalićTomo	Tomo	Galić	M
HR	GaćinaGašper	Gašper	Gaćina	M
HR	GašparovićVilena	Vilena	Gašparović	F
