country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
GR	Ε.Λ.	EL	2019	2020.1	9.0	4.38	6.5	2.67	4.38	-	8.5	8.5	9.5	-	-	7.14	-	-	-	3.14	1	3.29	2019	0.86	7.17	4.18	9.57	-	-	1.71	-	7.33	1.57	4.75	1.4	-	-	-	-	-	1.29	-	2.17	-	2.12	-	4.38	-	1	9	1	9.38	1.33	1	8.25	-	0.0	.5	9.5	9.25	-	-	9.67	-	-	-	.5	6.5	9.71	9.62	6.57	9	3.86	3.57	-	7.20	-	9.38	3.5	3.3	-	9.62	4.25	-	4.80	-	-	-	3.7
GR	ΚΙΝ.ΑΛ.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GR	ΛΑ.Ε.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GR	ΜέΡΑ25	MR25	2019	2020.1	1.43	1.75	2.5	2	8.71	-	0.67	8.71	0.67	-	-	7.57	-	-	-	1	1	1.71	2019	7	2.83	2.99	0.80	-	-	4.71	-	7	1.86	6	1	-	-	-	-	-	4.33	-	4.83	-	4.62	-	7.62	-	1	9	6	0.67	0.60	.5	7.14	-	0.0	2	0.67	7.67	-	-	5.5	-	-	-	1.17	7.33	0.83	1.57	8.29	4.80	7.43	1	-	3.25	-	0.86	0.33	3	-	0.67	1.57	-	2.60	-	-	-	3.44
GR	Ν.Δ.	ND	1999	2020.1	6.57	7.43	-	-	-	-	-	-	-	-	34511	-	-	-	-	-	1	-	1996	-	-	36	-	-	-	6.33	-	-	-	6.86	0.42	-	5.83	5.83	5.86	6.5	7	-	-	-	6.71	-	5	-	1	7	2	7.14	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	-	-	-	-	-	-	-	-	38.1
GR	Ν.Δ.	ND	2002	2020.1	6.27	6.32	-	-	-	-	-	-	-	-	34511	-	-	-	-	-	1	-	2000	-	-	36	-	-	6.64	6.2	-	-	-	6.91	2.12	-	6.4	6.36	6.41	-	6.73	-	6.18	-	6.55	-	8.93	-	1	11	2	6.45	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41.70	-	-	-	-	-	-	-	-	42.7
GR	Ν.Δ.	ND	2006	2020.1	6.44	6.89	-	-	-	-	-	-	6.88	6.5	34511	-	6.89	5.43	8.5	8.25	1	-	2004	-	-	43	5.38	4.38	-	-	-	-	-	7	1.13	-	-	-	6.22	-	6.56	-	6.56	-	6.67	-	8.90	6	1	9	2	6.25	-	-	-	-	1.0	-	6.13	5.88	-	-	-	-	-	-	-	-	5.63	-	-	-	4.88	5.44	4.71	4.13	6.86	7.75	-	55	4.71	5.88	6.44	7.25	6.57	6	5.44	6.75	45.4
GR	Ν.Δ.	ND	2010	2020.1	6.82	6.09	-	-	-	-	-	-	8	7	34511	-	-	-	6.82	6.64	1	-	2009	3.55	6.91	32.29	6.91	5.73	-	-	1	-	-	6.36	5.45	-	-	-	5.91	-	6.18	-	6	-	5.27	-	9	5.30	1	11	2	7.30	-	-	-	-	0.0	-	7.80	7.73	4.60	4	-	-	-	-	-	7.60	7.36	-	-	-	5.60	5	4.64	5.36	7.45	8.09	-	30.30	4.27	7.09	6.09	6.5	6.09	4.5	-	-	33.48
GR	Ν.Δ.	ND	2014	2020.1	7.22	7.11	-	-	9.44	-	-	2.33	7.11	-	34511	4.56	-	-	-	6.33	1	6	2012	-	7.67	22.7	8.22	-	-	-	1	-	5.56	6.78	2.56	-	-	-	6.43	-	6.11	-	6.56	-	6.56	-	7.44	3.71	1	9	2	7	-	-	6.33	-	1.0	-	8	-	-	4.43	-	13	14	8	-	-	8.22	7.44	-	-	-	6.56	-	5.71	-	8.44	-	43	-	8.11	5.5	-	6	-	-	-	29.7
GR	Ν.Δ.	ND	2019	2020.1	7.11	7.22	4.17	1.33	9	-	5.44	1.67	8.11	-	34511	5.12	-	-	-	8.33	1	7.22	2019	4.12	6.62	33.12	7.75	-	-	5.56	-	2.67	5.11	6.67	1.83	-	-	-	-	-	4.89	-	6.44	-	6.89	-	7.56	-	1	9	2	7.44	6.67	6	6.44	-	0.5	4.78	7.78	8.44	-	-	7.89	-	-	-	4.17	6.33	7.89	7.11	1.62	3.38	5.56	7.33	-	4.83	-	8.44	2.57	52.80	-	7.22	8	-	4.57	-	-	-	39.85
GR	ΠΑ.ΣΟ.Κ.	PASOK	1999	2020.1	5.0	5.43	-	-	-	-	-	-	-	-	34313	-	-	-	-	-	1	-	1996	-	-	32.91	-	-	-	6.33	-	-	-	7	3.21	-	5.71	6.5	6	5.75	7	-	-	-	7.0	-	7.5	-	1	7	5	3.71	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	-	-	-	-	-	-	-	-	41.5
GR	ΠΑ.ΣΟ.Κ.	PASOK	2002	2020.1	3.91	4.64	-	-	-	-	-	-	-	-	34313	-	-	-	-	-	1	-	2000	-	-	32.91	-	-	6.64	6.4	-	-	-	6.91	2.83	-	6.25	6	6.64	-	6.73	-	6.27	-	6.82	-	9.67	-	1	11	5	3.86	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52.70	-	-	-	-	-	-	-	-	43.8
GR	ΠΑ.ΣΟ.Κ.	PASOK	2006	2020.1	4.11	4.22	-	-	-	-	-	-	4.38	7.5	34313	-	3.11	6.43	6.38	5.63	1	-	2004	-	-	34	3.13	6.25	-	-	-	-	-	7	1.38	-	-	-	6.22	-	6.56	-	5.78	-	6.78	-	8.13	6.11	1	9	5	3.25	-	-	-	-	0.0	-	3	6.63	-	-	-	-	-	-	-	-	2.75	-	-	-	7.5	3.22	6.29	2.88	5.71	2.88	-	39	6.29	2.63	3.78	7.88	6.14	6.29	4.11	7.13	40.6
GR	ΠΑ.ΣΟ.Κ.	PASOK	2010	2020.1	4.36	5.64	-	-	-	-	-	-	4.55	6.91	34313	-	-	-	7.55	6.82	1	-	2009	7.45	4.18	36.64	2.91	6.55	-	-	1.09	-	-	6.45	4.45	-	-	-	6	-	6.09	-	5.64	-	6.09	-	9.39	6	1	11	5	2.82	-	-	-	-	1.0	-	5.10	7.55	4.70	3.8	-	-	-	-	-	7	3	-	-	-	7.60	2.91	7.27	2	4.82	4.27	-	53.30	6	3.64	3.64	7	5.73	4.20	-	-	43.92
GR	ΠΑ.ΣΟ.Κ.	PASOK	2014	2020.1	4.78	5.44	-	-	9.44	-	-	2.78	3.89	-	34313	4.89	-	-	-	5.89	1	4.5	2012	-	5.89	8	4.33	-	-	-	1	-	5.56	6.78	1.89	-	-	-	6.38	-	6.33	-	6.33	-	6.56	-	7.67	4.62	1	9	5	4	-	-	4.44	-	1.0	-	4.33	-	-	4.38	-	13	17	37	-	-	4.56	3.67	-	-	-	4.22	-	3.5	-	5.11	-	11	-	3.67	4.25	-	5	-	-	-	12.3
GR	ΠΑ.ΣΟ.Κ.	PASOK	2019	2020.1	4.33	4.22	4	3.33	8	-	2.33	2.11	3.44	-	34313	4.75	-	-	-	4.22	1	4.11	2019	4.62	5.88	7.72	4	-	-	5.67	-	1.67	4.56	6.67	1.83	-	-	-	-	-	5.78	-	6.22	-	6.89	-	7.33	-	1	9	5	3.89	4.83	4.33	5.11	-	0.0	4.56	4.78	6.11	-	-	6.78	-	-	-	3.83	5.56	4.44	3.89	2.62	5.25	6.44	3.78	-	3.33	-	4.67	2	6.40	-	2.88	3.33	-	4.43	-	-	-	7
GR	ΣΥ.ΡΙΖ.Α.	SYRIZA	2006	2020.1	1.89	1.11	-	-	-	-	-	-	2	9	34020	-	2.86	7	5.25	1.29	1	-	2004	-	-	4.20	1.33	8.5	-	-	-	-	-	5.25	4.57	-	-	-	5.5	-	3.71	-	2.63	-	3.1	-	5.93	5.75	1	10	6	1.57	-	-	-	-	0.0	-	0.71	8.29	-	-	-	-	-	-	-	-	2.14	-	-	-	9.29	0.56	6.60	2.86	6.43	0.29	-	2	8.33	1	1.78	7.86	5.5	4.33	.11	9.43	3.3
GR	ΣΥ.ΡΙΖ.Α.	SYRIZA	2010	2020.1	1.55	1.0	-	-	-	-	-	-	0.82	9.18	34020	-	-	-	7.82	0.82	1	-	2009	8.82	0.82	4.70	0.64	7.36	-	-	2.18	-	-	5	7	-	-	-	4.90	-	3.09	-	2.64	-	2.18	-	8.18	3.78	1	11	6	1.91	-	-	-	-	0.0	-	0.60	8.82	6.60	8.36	-	-	-	-	-	9	0.64	-	-	-	9.30	0.55	7.18	1.55	5.82	0.45	-	4.30	8.27	0.64	1	7.90	4.18	3.60	-	-	4.6
GR	ΣΥ.ΡΙΖ.Α.	SYRIZA	2014	2020.1	2.0	1.44	-	-	9.44	-	-	8.56	1.78	-	34020	7.88	-	-	-	1.33	1	1.12	2012	-	2.78	26.6	2.11	-	-	-	2.22	-	1.62	5.11	7.11	-	-	-	5.25	-	4	-	3.67	-	3.44	-	6.33	4.17	1	9	6	2.11	-	-	5.56	-	0.0	-	2.22	-	-	7	-	14	13	1	-	-	1.89	3.11	-	-	-	1.22	-	3.75	-	1.56	-	23.70	-	1.56	1.75	-	4	-	-	-	26.9
GR	ΣΥ.ΡΙΖ.Α.	SYRIZA	2019	2020.1	2.33	2.22	4.67	2.67	8.56	-	1.33	6.56	1.56	-	34020	7.75	-	-	-	1.67	1	1.56	2019	6.5	4.14	23.75	1.5	-	-	5.44	-	5.67	2.78	6.22	4.67	-	-	-	-	-	4.89	-	4.89	-	5.0	-	6.67	-	1	9	6	2.44	1.33	2.67	7.56	-	0.5	2.33	2.11	7.56	-	-	5.67	-	-	-	2.29	6.56	1.78	1.78	7.38	6.38	6.78	1.33	-	3	-	1.67	2	28.80	-	1.33	1.44	-	3.29	-	-	-	31.53
GR	Τ.Π.	Potami	2014	2020.1	4.89	5.67	-	-	7.56	-	-	5.33	2.67	-	-	8.22	-	-	-	6.43	1	5.25	2012	-	3.75	6.6	2.89	-	-	-	1.11	-	5.75	6.56	2.33	-	-	-	6.43	-	6.29	-	6.33	-	6.0	-	6.67	4.60	1	9	5	2.11	-	-	5.67	-	0.0	-	3.44	-	-	4.71	-	13	3	8	-	-	2.78	2.44	-	-	-	4	-	3	-	2.33	-	-	-	1.67	4.75	-	3.5	-	-	-	-
GR	Χ.Α.	XA	2014	2020.1	9.89	2.88	-	-	5.89	-	-	10	10	-	34720	7.75	-	-	-	0.83	1	1.17	2012	-	9.40	9.4	10	-	-	-	3	-	1	2.20	0.44	-	-	-	2	-	1.14	-	1.29	-	1.11	-	4.44	1	1	9	1	10	-	-	8.22	-	0.0	-	10	-	-	5	-	9	1	12	-	-	10	10	-	-	-	3	-	8.25	-	8.11	-	6	-	10	2	-	6	-	-	-	6.9
GR	Χ.Α.	XA	2019	2020.1	10.0	3.38	4.40	2	4.88	-	9.38	9.5	10	-	34720	8.57	-	-	-	3	1	2.38	2019	0.71	7.20	4.87	10	-	-	1.38	-	2.67	1	4.62	0.80	-	-	-	-	-	1.38	-	1.57	-	1.22	-	4.12	-	1	9	1	10	.5	.5	9.12	-	0.0	0	9.88	9.88	-	-	8	-	-	-	0	7.43	10	10	6.38	9.57	3.75	2.75	-	7.40	-	8.25	1.83	0	-	10	4	-	4.67	-	-	-	2.93
