Codepoint	Char	Occurs	%	In docs	%	Unicode name
U+0141	Ł	        58	  0.01	      10	 83.33	LATIN CAPITAL LETTER L WITH STROKE
U+0142	ł	      1849	  0.18	      12	100.00	LATIN SMALL LETTER L WITH STROKE
U+0144	ń	       633	  0.06	      12	100.00	LATIN SMALL LETTER N WITH ACUTE
U+015A	Ś	       102	  0.01	       8	 66.67	LATIN CAPITAL LETTER S WITH ACUTE
U+015B	ś	       643	  0.06	      12	100.00	LATIN SMALL LETTER S WITH ACUTE
U+0161	š	         2	  0.00	       2	 16.67	LATIN SMALL LETTER S WITH CARON
U+0163	ţ	         2	  0.00	       2	 16.67	LATIN SMALL LETTER T WITH CEDILLA
U+017A	ź	        22	  0.00	      10	 83.33	LATIN SMALL LETTER Z WITH ACUTE
U+017B	Ż	        52	  0.01	       8	 66.67	LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+017C	ż	      2363	  0.23	      12	100.00	LATIN SMALL LETTER Z WITH DOT ABOVE
U+017E	ž	        30	  0.00	      12	100.00	LATIN SMALL LETTER Z WITH CARON
U+02DD	˝	         8	  0.00	       4	 33.33	DOUBLE ACUTE ACCENT
U+2013	–	        60	  0.01	       4	 33.33	EN DASH
U+201D	”	        12	  0.00	       4	 33.33	RIGHT DOUBLE QUOTATION MARK
U+201E	„	        12	  0.00	       4	 33.33	DOUBLE LOW-9 QUOTATION MARK
U+2026	…	        72	  0.01	       2	 16.67	HORIZONTAL ELLIPSIS
