ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	IT	-	805	AN	1999	8.2	4.3	-	-	-	-	-	-	-	-	32710	-	-	-	-	-	1	-	1996	-	-	10.3	-	-	-	4.2	-	-	-	5.5	2.0	-	4.8	5	3.8	4.8	3.2	-	-	-	3.7	-	2.5	-	1	6	1	8.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.8	-	-	-	-	-	-	-	-	15.7	2020.1
1999-2019	IT	-	814	CCD	1999	6.0	5.0	-	-	-	-	-	-	-	-	32521	-	-	-	-	-	1	-	1996	-	-	2.6	-	-	-	5.2	-	-	-	5.8	0	-	5	5	5.2	5.4	5	-	-	-	6.0	-	3.3	-	1	6	4	7.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	2.9	2020.1
1999-2019	IT	-	818	CDU	1999	6.3	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	2.2	-	-	-	5.2	-	-	-	5.8	0.5	-	5	4.8	4.8	5	5	-	-	-	5.7	-	2.9	-	1	6	4	7.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	2.9	2020.1
1999-2019	IT	-	819	DEM	1999	4.3	4.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	7.7	-	-	-	6.4	-	-	-	6	0	-	6.2	6.3	6.3	6	6.7	-	-	-	7.0	-	6.7	-	1	6	3	4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	IT	-	808	FdV	1999	3.8	3.8	-	-	-	-	-	-	-	-	32110	-	-	-	-	-	1	-	1996	-	-	1.8	-	-	-	6.6	-	-	-	5.2	3	-	5	6.8	5.5	4.6	4.3	-	-	-	5.3	-	4.6	-	1	6	7	1.3	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.5	-	-	-	-	-	-	-	-	2.5	2020.1
1999-2019	IT	-	820	LB	1999	4.6	8.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	8.5	-	-	-	6.4	-	-	-	6.4	1.0	-	6.2	6.6	6	6	6.8	-	-	-	6.2	-	6	-	1	6	9	0.6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	IT	-	821	MS	1999	9.7	5.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	1.6	-	-	-	2.4	-	-	-	3.3	0	-	2.8	2.3	3.8	3	2	-	-	-	2.2	-	1.2	-	1	6	1	9.6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	0.9	2020.1
1999-2019	IT	-	802	PDS	1999	3.0	3.3	-	-	-	-	-	-	-	-	32220	-	-	-	-	-	1	-	1996	-	-	17.3	-	-	-	6.2	-	-	-	6.7	1.5	-	6	6.3	6	5.8	6.3	-	-	-	6.7	-	6.7	-	1	6	5	2.8	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27.1	-	-	-	-	-	-	-	-	21.1	2020.1
1999-2019	IT	-	823	PPI	1999	4.8	4.0	-	-	-	-	-	-	-	-	32520	-	-	-	-	-	1	-	1996	-	-	4.2	-	-	-	5.8	-	-	-	6.3	0.5	-	5.2	5.8	5.6	5.4	6.2	-	-	-	6.5	-	5	-	1	6	4	6.3	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.5	-	-	-	-	-	-	-	-	1.7	2020.1
1999-2019	IT	-	806	PRI	1999	5.0	5.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	0.5	-	-	-	5.2	-	-	-	5.4	1.0	-	4	4.5	4.8	4.4	6.2	-	-	-	5.8	-	4.6	-	1	6	3	5.2	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.5	-	-	-	-	-	-	-	-	1.7	2020.1
