Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2019-12-17-48	ParlaMint-IS_2019-12-17-48.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-48, 17.12.2019.	2019-12-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955
ParlaMint-IS-en_2019-12-17-48	ParlaMint-IS_2019-12-17-48.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-48, 17.12.2019.	2019-12-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976
ParlaMint-IS-en_2019-12-17-48	ParlaMint-IS_2019-12-17-48.u64	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-48, 17.12.2019.	2019-12-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955
ParlaMint-IS-en_2019-12-17-48	ParlaMint-IS_2019-12-17-48.u65	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-48, 17.12.2019.	2019-12-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976
