ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2022-07-20-3601.1.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Borràs Castanyer, Laura	F	1970
ParlaMint-ES-CT_2022-07-20-3601.2.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Martín Blanco, Ignacio	M	1982
ParlaMint-ES-CT_2022-07-20-3601.3.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Borràs Castanyer, Laura	F	1970
ParlaMint-ES-CT_2022-07-20-3601.4.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Martín Blanco, Ignacio	M	1982
ParlaMint-ES-CT_2022-07-20-3601.5.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Borràs Castanyer, Laura	F	1970
ParlaMint-ES-CT_2022-07-20-3601.6.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Martín Blanco, Ignacio	M	1982
ParlaMint-ES-CT_2022-07-20-3601.7.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Borràs Castanyer, Laura	F	1970
ParlaMint-ES-CT_2022-07-20-3601.8.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar		Riba Colom, Jordi	M	1975
ParlaMint-ES-CT_2022-07-20-3601.9.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Borràs Castanyer, Laura	F	1970
ParlaMint-ES-CT_2022-07-20-3601.10.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2022-07-20 3601 [ParlaMint SAMPLE]	2022-07-20	Unicameralism	14		36	1		COVID	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Ferro Solé, Lucas Silvano	M	1990
