ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2018-05-12-0901.1.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.2.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Campdepadrós Pucurull, Eusebi	M	1961
ParlaMint-ES-CT_2018-05-12-0901.72.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.3.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Torra Pla, Joaquim	M	1962
ParlaMint-ES-CT_2018-05-12-0901.4.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.5.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Torra Pla, Joaquim	M	1962
ParlaMint-ES-CT_2018-05-12-0901.6.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.7.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.8.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Arrimadas García, Inés	F	1981
ParlaMint-ES-CT_2018-05-12-0901.9.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.10.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	JuntsPelSí	Junts pel Sí		Sabrià Benito, Sergi	M	1975
ParlaMint-ES-CT_2018-05-12-0901.11.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.12.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	JuntsPelSí	Junts pel Sí		Sabrià Benito, Sergi	M	1975
ParlaMint-ES-CT_2018-05-12-0901.13.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.14.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	Opposition	Iceta Llorens, Miquel	M	1960
ParlaMint-ES-CT_2018-05-12-0901.15.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-12-0901.16.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Domènech Sampere, Xavier	M	1974
ParlaMint-ES-CT_2018-05-12-0901.17.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-12 0901 [ParlaMint SAMPLE]	2018-05-12	Unicameralism	12		9	1		Reference	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Costa Rosselló, Josep	M	1975
