ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2020-09-09-6001.193.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.194.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya		Rodríguez Fernández, José	M	1976
ParlaMint-ES-CT_2020-09-09-6001.195.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.196.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Sirvent Escrig, Maria	F	1987
ParlaMint-ES-CT_2020-09-09-6001.197.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.198.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Segovia Sánchez, Susana	F	1973
ParlaMint-ES-CT_2020-09-09-6001.199.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.200.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya		Rodríguez Fernández, José	M	1976
ParlaMint-ES-CT_2020-09-09-6001.201.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.202.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	PP	Partido Popular		Rodríguez Serra, Santi	M	1964
