ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-PT_2024-02-07.u1	ParlaMint-PT-en_2024-02-07	u	English	-	-	-	20	1056	1206	35	
ParlaMint-PT_2024-02-07.seg1.s	ParlaMint-PT_2024-02-07.u1	s	English	Positive	mixed positive	4.068	1	17	21	0	
ParlaMint-PT_2024-02-07.seg2.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral positive	3.258	1	87	95	4	
ParlaMint-PT_2024-02-07.seg3.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral positive	2.926	1	70	81	9	
ParlaMint-PT_2024-02-07.seg4.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral negative	2.206	1	32	37	0	
ParlaMint-PT_2024-02-07.seg5.s	ParlaMint-PT_2024-02-07.u1	s	English	Negative	negative	0.271	1	78	87	0	
ParlaMint-PT_2024-02-07.seg6.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral negative	1.573	1	37	40	0	
ParlaMint-PT_2024-02-07.seg7.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral negative	2.491	1	30	34	0	
ParlaMint-PT_2024-02-07.seg8.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral negative	2.092	1	30	37	0	
ParlaMint-PT_2024-02-07.seg9.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral negative	2.025	1	35	40	0	
ParlaMint-PT_2024-02-07.seg10.s	ParlaMint-PT_2024-02-07.u1	s	English	Negative	negative	0.222	1	92	110	0	
ParlaMint-PT_2024-02-07.seg11.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral positive	2.907	1	29	30	1	
ParlaMint-PT_2024-02-07.seg12.s	ParlaMint-PT_2024-02-07.u1	s	English	Negative	mixed negative	1.495	1	47	55	0	
ParlaMint-PT_2024-02-07.seg13.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral positive	2.517	1	68	80	6	
ParlaMint-PT_2024-02-07.seg14.s	ParlaMint-PT_2024-02-07.u1	s	English	Positive	mixed positive	3.994	1	21	26	2	
ParlaMint-PT_2024-02-07.seg15.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral positive	2.791	1	59	64	3	
ParlaMint-PT_2024-02-07.seg16.s	ParlaMint-PT_2024-02-07.u1	s	English	Positive	mixed positive	3.544	1	126	150	1	
ParlaMint-PT_2024-02-07.seg17.s	ParlaMint-PT_2024-02-07.u1	s	English	Negative	negative	0.162	1	70	74	0	
ParlaMint-PT_2024-02-07.seg18.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral negative	2.053	1	78	87	6	
ParlaMint-PT_2024-02-07.seg19.s	ParlaMint-PT_2024-02-07.u1	s	English	Positive	mixed positive	3.936	1	16	20	1	
ParlaMint-PT_2024-02-07.seg20.s	ParlaMint-PT_2024-02-07.u1	s	English	Neutral	neutral positive	2.917	1	34	38	2	
ParlaMint-PT_2024-02-07.u2	ParlaMint-PT-en_2024-02-07	u	English	-	-	-	11	701	819	29	
