ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-PT_2024-02-07.u1	ParlaMint-PT_2024-02-07	u	Portuguese	-	-	-	20	1277	1417	40	
ParlaMint-PT_2024-02-07.seg1.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Positive	mixed positive	4.068	1	15	18	1	
ParlaMint-PT_2024-02-07.seg2.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral positive	3.258	1	115	123	4	
ParlaMint-PT_2024-02-07.seg3.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral positive	2.926	1	95	105	10	
ParlaMint-PT_2024-02-07.seg4.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral negative	2.206	1	41	46	0	
ParlaMint-PT_2024-02-07.seg5.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Negative	negative	0.271	1	89	98	1	
ParlaMint-PT_2024-02-07.seg6.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral negative	1.573	1	38	41	0	
ParlaMint-PT_2024-02-07.seg7.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral negative	2.491	1	34	38	0	
ParlaMint-PT_2024-02-07.seg8.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral negative	2.092	1	34	37	0	
ParlaMint-PT_2024-02-07.seg9.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral negative	2.025	1	42	47	0	
ParlaMint-PT_2024-02-07.seg10.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Negative	negative	0.222	1	119	130	0	
ParlaMint-PT_2024-02-07.seg11.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral positive	2.907	1	29	32	1	
ParlaMint-PT_2024-02-07.seg12.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Negative	mixed negative	1.495	1	54	62	0	
ParlaMint-PT_2024-02-07.seg13.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral positive	2.517	1	86	98	4	
ParlaMint-PT_2024-02-07.seg14.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Positive	mixed positive	3.994	1	18	22	2	
ParlaMint-PT_2024-02-07.seg15.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral positive	2.791	1	86	91	6	
ParlaMint-PT_2024-02-07.seg16.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Positive	mixed positive	3.544	1	156	178	3	
ParlaMint-PT_2024-02-07.seg17.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Negative	negative	0.162	1	72	76	0	
ParlaMint-PT_2024-02-07.seg18.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral negative	2.053	1	101	114	5	
ParlaMint-PT_2024-02-07.seg19.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Positive	mixed positive	3.936	1	12	15	1	
ParlaMint-PT_2024-02-07.seg20.s	ParlaMint-PT_2024-02-07.u1	s	Portuguese	Neutral	neutral positive	2.917	1	41	46	2	
ParlaMint-PT_2024-02-07.u2	ParlaMint-PT_2024-02-07	u	Portuguese	-	-	-	11	839	956	19	
ParlaMint-PT_2024-02-07.seg21.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Neutral	neutral negative	1.908	1	64	76	1	
ParlaMint-PT_2024-02-07.seg22.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Positive	mixed positive	3.972	1	87	94	3	
ParlaMint-PT_2024-02-07.seg23.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Neutral	neutral positive	2.989	1	84	97	3	
ParlaMint-PT_2024-02-07.seg24.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Neutral	neutral positive	3.035	1	99	116	0	
ParlaMint-PT_2024-02-07.seg25.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	negative	0.090	1	46	53	0	
ParlaMint-PT_2024-02-07.seg26.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	mixed negative	1.296	1	100	114	0	
ParlaMint-PT_2024-02-07.seg27.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	negative	0.255	1	77	89	0	
ParlaMint-PT_2024-02-07.seg28.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	negative	0.334	1	116	132	2	
ParlaMint-PT_2024-02-07.seg29.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	negative	0.102	1	41	44	0	
ParlaMint-PT_2024-02-07.seg30.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	negative	0.280	1	77	88	6	
ParlaMint-PT_2024-02-07.seg31.s	ParlaMint-PT_2024-02-07.u2	s	Portuguese	Negative	negative	0.248	1	48	53	4	
ParlaMint-PT_2024-02-07.u57	ParlaMint-PT_2024-02-07	u	Portuguese	-	-	-	6	400	442	10	
ParlaMint-PT_2024-02-07.seg175.s	ParlaMint-PT_2024-02-07.u57	s	Portuguese	Negative	negative	0.307	1	142	160	8	
ParlaMint-PT_2024-02-07.seg176.s	ParlaMint-PT_2024-02-07.u57	s	Portuguese	Negative	negative	0.360	1	48	59	0	
