Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2018-05-04-0702	ParlaMint-ES-CT_2018-05-04-0702.1.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-04 0702.ana	2018-05-04	Unicameralisme	XII Legislatura	-	7	2	-	Corpus de referència	Català	Presidència	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979
ParlaMint-ES-CT_2018-05-04-0702	ParlaMint-ES-CT_2018-05-04-0702.2.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-04 0702.ana	2018-05-04	Unicameralisme	XII Legislatura	-	7	2	-	Corpus de referència	Català	Diputat/da	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	CaulaAnna	Caula i Paretas, Anna	F	1971
ParlaMint-ES-CT_2018-05-04-0702	ParlaMint-ES-CT_2018-05-04-0702.159.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-04 0702.ana	2018-05-04	Unicameralisme	XII Legislatura	-	7	2	-	Corpus de referència	Català	Diputat/da	MP	notMinister	GP-CUP;GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent;Grup Parlamentari de la Candidatura d'Unitat Popular - Un Nou Cicle per Guanyar	Opposition	Entre esquerra i extrema esquerra	RieraCarles	Riera i Albert, Carles	M	1960
ParlaMint-ES-CT_2018-05-04-0702	ParlaMint-ES-CT_2018-05-04-0702.160.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-05-04 0702.ana	2018-05-04	Unicameralisme	XII Legislatura	-	7	2	-	Corpus de referència	Català	Presidència	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979
