country	id	surname	forename	sex
RS	BožićSandra	Sandra	Božić	F
RS	BožićTalijanElena	Elena	Božić-Talijan	F
RS	BožovićBalša	Balša	Božović	M
RS	BožovićDragoslav	Dragoslav	Božović	M
RS	BožovićStana	Stana	Božović	F
RS	BradićBlagoje	Blagoje	Bradić	M
RS	BradićNebojša	Nebojša	Bradić	M
RS	BrajovićVojislav	Vojislav	Brajović	M
RS	BrankovićDragana	Dragana	Branković	F
RS	BraserAn	An	Braser	M
RS	BrestovačkiŽeljko	Željko	Brestovački	M
RS	BrnabićAna	Ana	Brnabić	F
RS	BrozJosip	Josip	Broz	M
RS	BubaloPredrag	Predrag	Bubalo	M
RS	BudimirMilana	Milana	Budimir	F
RS	BudimirovićDobrivoje	Dobrivoje	Budimirović	M
RS	BudimirovićJelena	Jelena	Budimirović	F
RS	BudimirovićBidžaDobrivoje	Dobrivoje	Budimirović – Bidža	M
RS	BudimovićVlastimir	Vlastimir	Budimović	M
RS	BudićZvonimir	Zvonimir	Budić	M
RS	BudišinDušan	Dušan	Budišin	M
RS	BugarčićMarija	Marija	Bugarčić	F
RS	BuhaMilorad	Milorad	Buha	M
RS	BuhaMiroslav	Miroslav	Buha	M
RS	BukvićDanica	Danica	Bukvić	F
RS	BukvićRadojle	Radojle	Bukvić	M
RS	BulajićSvetislava	Svetislava	Bulajić	M
RS	BulatovićSlaviša	Slaviša	Bulatović	M
RS	BursaćBoris	Boris	Bursać	M
RS	BuzekJirži	Jirži	Buzek	M
RS	BuđanovčaninSiniša	Siniša	Buđanovčanin	M
RS	BušetićToma	Toma	Bušetić	M
RS	CekićNenad	Nenad	Cekić	M
RS	CimešaDragomir	Dragomir	Cimeša	M
RS	CokićRadoslav	Radoslav	Cokić	M
RS	ColićMomčilo	Momčilo	Colić	M
RS	CvetanovićGoran	Goran	Cvetanović	M
RS	CvetanovićMilorad	Milorad	Cvetanović	M
RS	CvetićaninNeven	Neven	Cvetićanin	M
RS	CvetkovićDušan	Dušan	Cvetković	M
RS	CvetkovićMirko	Mirko	Cvetković	M
RS	CvetkovićPetar	Petar	Cvetković	M
RS	CvetkovićStojan	Stojan	Cvetković	M
RS	CvetkovićŽivota	Života	Cvetković	M
RS	CvijanVladimir	Vladimir	Cvijan	M
RS	DabićĐorđe	Đorđe	Dabić	M
RS	DacinŽivodarka	Živodarka	Dacin	F
RS	DajaJovan	Jovan	Daja	M
RS	DamjanovićDejan	Dejan	Damjanović	M
RS	DamjanovićJovan	Jovan	Damjanović	M
RS	DamjanovićMiljan	Miljan	Damjanović	M
RS	DamnjanovićDragi	Dragi	Damnjanović	M
RS	DanilovićMarko	Marko	Danilović	M
RS	DankAndrej	Andrej	Dank	M
RS	DavidovacTijana	Tijana	Davidovac	F
RS	DavidovićGoran	Goran	Davidović	M
RS	DavidovićLjubivoje	Ljubivoje	Davidović	M
RS	DazdarevićSabina	Sabina	Dazdarević	F
RS	DačićIvica	Ivica	Dačić	M
RS	DačićMilica	Milica	Dačić	F
RS	DelevićMilica	Milica	Delević	F
RS	DelibašićZorana	Zorana	Delibašić	F
RS	DelićBožidar	Božidar	Delić	M
RS	DeretaMiljenko	Miljenko	Dereta	M
RS	DeretićJovan	Jovan	Deretić	M
RS	DespotovićZoran	Zoran	Despotović	M
RS	DeđanskiStevica	Stevica	Deđanski	M
RS	DeđiangDžang	Džang	Deđiang	M
RS	DimitrijevićBojan	Bojan	Dimitrijević	M
RS	DimitrijevićLidija	Lidija	Dimitrijević	F
