Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
RS	KisićTepavčevićDarija	minister	2020-10-29	2022-10-26	16th cabinet	-	Ministarstvo rada, zapošljavanja, boračke i socijalne politike	Ministry of Labour, Employment, Veteran and Social Policy	https://en.wikipedia.org/wiki/Ministry_of_Labour,_Employment,_Veteran_and_Social_Policy_(Serbia)	-
RS	SelakovićNikola	minister	2022-10-27	-	17th cabinet	-	Ministarstvo rada, zapošljavanja, boračke i socijalne politike	Ministry of Labour, Employment, Veteran and Social Policy	https://en.wikipedia.org/wiki/Ministry_of_Labour,_Employment,_Veteran_and_Social_Policy_(Serbia)	-
RS	DmitrovićRadomir	minister	2020-10-28	2022-10-26	16th cabinet	-	Ministarstvo za brigu o porodici i demografiju	Ministry of Family Welfare and Demography	https://en.wikipedia.org/wiki/Ministry_of_Family_Welfare_and_Demography_(Serbia)	-
RS	KisićTepavčevićDarija	minister	2022-10-27	-	17th cabinet	-	Ministarstvo za brigu o porodici i demografiju	Ministry of Family Welfare and Demography	https://en.wikipedia.org/wiki/Ministry_of_Family_Welfare_and_Demography_(Serbia)	-
RS	UdovičićVanja	minister	2013-09-02	2022-10-26	12/13/14/15/16th cabinet	-	Ministarstvo sporta	Ministry of Sports	https://en.wikipedia.org/wiki/Ministry_of_Sports_(Serbia)	-
RS	GajićZoran	minister	2022-10-27	-	17th cabinet	-	Ministarstvo sporta	Ministry of Sports	https://en.wikipedia.org/wiki/Ministry_of_Sports_(Serbia)	This speaker cannot be found in RS corpus
RS	TasovacIvan	minister	2013-09-02	2016-08-11	12/13th cabinet	-	Ministarstvo kulture i informisanja	Ministry of Culture and Information	https://en.wikipedia.org/wiki/Ministry_of_Culture_and_Information_(Serbia)	-
RS	VukosavljevićVladan	minister	2016-08-12	2020-10-28	14/15th cabinet	-	Ministarstvo kulture i informisanja	Ministry of Culture and Information	https://en.wikipedia.org/wiki/Ministry_of_Culture_and_Information_(Serbia)	-
RS	GojkovićMaja	minister	2020-10-29	-	16/17th cabinet	-	Ministarstvo kulture i informisanja	Ministry of Culture and Information	https://en.wikipedia.org/wiki/Ministry_of_Culture_and_Information_(Serbia)	-
RS	KrkobabićMilan	minister	2020-10-28	-	16/17th cabinet	-	Ministarstvo za brigu o selu	Ministry of Rural Welfare	https://en.wikipedia.org/wiki/Ministry_of_Rural_Welfare_(Serbia)	-
RS	BegovićJelena	minister	2022-10-26	-	17th cabinet	-	Ministarstvo nauke, tehnološkog razvoja i inovacija	Ministry of Science, Technological Development and Innovation	https://en.wikipedia.org/wiki/Ministry_of_Science,_Technological_Development_and_Innovation_(Serbia)	This speaker cannot be found in RS corpus
RS	MemićHusein	minister	2022-10-26	-	17th cabinet	-	Ministarstvo turizma i omladine	Ministry of Tourism and Youth	https://en.wikipedia.org/wiki/Husein_Memić	This speaker cannot be found in RS corpus
RS	JovanovićMihailo	minister	2022-10-26	-	17th cabinet	-	Ministarstvo informisanja i telekomunikacija	Ministry of Information and Telecommunications	https://en.wikipedia.org/wiki/Ministry_of_Information_and_Telecommunications_(Serbia)	This speaker cannot be found in RS corpus
RS	BlagojevićMarko	minister	2022-10-26	-	17th cabinet	-	Ministarstvo za javna ulaganja	Ministry of Public Investments	https://en.wikipedia.org/wiki/Marko_Blagojević_(born_1974)	-
RS	VulinAleksandar	minister	2013-09-02	2014-04-27	12th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	RužićBranko	minister	2013-09-02	2014-04-27	12th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	IlićVelimir	minister	2014-04-28	2016-08-11	13th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	JoksimovićJadranka	minister	2014-04-28	2017-06-29	13/14th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	ĐukićSlavica	minister	2016-08-12	2020-10-28	14/15th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	KrkobabićMilan	minister	2016-08-12	2020-10-28	14/15th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	PopovićNenad	minister	2017-06-30	2022-10-26	15/16/17th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	TončevNovica	minister	2020-10-28	-	16/17th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	MilićevićĐorđe	minister	2022-10-26	-	17th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	-
RS	ĐerlekEdin	minister	2022-10-26	-	17th cabinet	-	Ministar bez portfelja	Minister without portfolio	https://en.wikipedia.org/wiki/Minister_without_portfolio_(Serbia)	This speaker cannot be found in RS corpus
