ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR_2003-12-22-0.u1	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 1	2003-12-22	Unicameralism	5		1	2003-12-22		Reference	Chairperson	MP	-	HSS	Hrvatska seljačka stranka	Opposition	Tomčić, Zlatko	M	1945
ParlaMint-HR_2003-12-22-0.u2	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 1	2003-12-22	Unicameralism	5		1	2003-12-22		Reference	Regular	MP	-	HDZ	Hrvatska demokratska zajednica	Opposition	Šeks, Vladimir	M	1943
ParlaMint-HR_2003-12-22-0.u36	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 1	2003-12-22	Unicameralism	5		1	2003-12-22		Reference	Regular	MP	-	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Glavaš, Branimir	M	1956
ParlaMint-HR_2003-12-22-0.u37	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 1	2003-12-22	Unicameralism	5		1	2003-12-22		Reference	Chairperson	MP	-	HDZ	Hrvatska demokratska zajednica	Opposition	Šeks, Vladimir	M	1943
