ID	Title	From	To	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG_2016-07-27.u1	Report of the meeting of the Bulgarian National Assembly, Term 43, Session 6, Meeting 224 (2016-07-27)	2016-07-27	2016-07-27	43	6	224	-	-	Reference	Chairperson	notMP	-	-	-	Цачева, Цецка	F	1958
ParlaMint-BG_2016-07-27.u2	Report of the meeting of the Bulgarian National Assembly, Term 43, Session 6, Meeting 224 (2016-07-27)	2016-07-27	2016-07-27	43	6	224	-	-	Reference	Regular	MP	ГЕРБ	Граждани за европейско развитие на България	coalition	Кирилова Стоянова, Менда	F	1956
ParlaMint-BG_2016-07-27.u304	Report of the meeting of the Bulgarian National Assembly, Term 43, Session 6, Meeting 224 (2016-07-27)	2016-07-27	2016-07-27	43	6	224	-	-	Reference	Regular	notMP	ГЕРБ	Граждани за европейско развитие на България	coalition	Димитров Кирилов, Данаил	M	1970
ParlaMint-BG_2016-07-27.u305	Report of the meeting of the Bulgarian National Assembly, Term 43, Session 6, Meeting 224 (2016-07-27)	2016-07-27	2016-07-27	43	6	224	-	-	Reference	Chairperson	notMP	-	-	-	Цачева, Цецка	F	1958
