ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
tbmm-2017-11-09s01p001	The Turkish parliamentary corpus ParlaMint-TR, Term 26, Session 20 [ParlaMint SAMPLE]	2017-11-09	2017-11-09		26	20				Reference	Chairperson	MP	AKP AK Party	Adalet ve Kalkınma Partisi	Coalition	Aydın, Ahmet	M	-
tbmm-2017-11-09s01p002	The Turkish parliamentary corpus ParlaMint-TR, Term 26, Session 20 [ParlaMint SAMPLE]	2017-11-09	2017-11-09		26	20				Reference	Chairperson	MP	AKP AK Party	Adalet ve Kalkınma Partisi	Coalition	Aydın, Ahmet	M	-
tbmm-2017-11-09s06p011	The Turkish parliamentary corpus ParlaMint-TR, Term 26, Session 20 [ParlaMint SAMPLE]	2017-11-09	2017-11-09		26	20				Reference	Chairperson	MP	AKP AK Party	Adalet ve Kalkınma Partisi	Coalition	Aydın, Ahmet	M	-
tbmm-2017-11-09s06p012	The Turkish parliamentary corpus ParlaMint-TR, Term 26, Session 20 [ParlaMint SAMPLE]	2017-11-09	2017-11-09		26	20				Reference	Chairperson	MP	AKP AK Party	Adalet ve Kalkınma Partisi	Coalition	Aydın, Ahmet	M	-
