ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR_2021-01-15-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Chairperson	MP	Ν.Δ.	Νέα Δημοκρατία		ΤΑΣΟΥΛΑΣ, ΚΩΝΣΤΑΝΤΙΝΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Chairperson	MP	Ν.Δ.	Νέα Δημοκρατία		ΤΑΣΟΥΛΑΣ, ΚΩΝΣΤΑΝΤΙΝΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	Ν.Δ.	Νέα Δημοκρατία		ΜΗΤΣΟΤΑΚΗΣ, ΚΥΡΙΑΚΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Chairperson	MP	Ν.Δ.	Νέα Δημοκρατία		ΤΑΣΟΥΛΑΣ, ΚΩΝΣΤΑΝΤΙΝΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Opposition	ΤΣΙΠΡΑΣ, ΑΛΕΞΙΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Chairperson	MP	Ν.Δ.	Νέα Δημοκρατία		ΤΑΣΟΥΛΑΣ, ΚΩΝΣΤΑΝΤΙΝΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Opposition	ΤΣΙΠΡΑΣ, ΑΛΕΞΙΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	Ν.Δ.	Νέα Δημοκρατία		ΜΗΤΣΟΤΑΚΗΣ, ΚΥΡΙΑΚΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Opposition	ΤΣΙΠΡΑΣ, ΑΛΕΞΙΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	Ν.Δ.	Νέα Δημοκρατία		ΠΛΕΥΡΗΣ, ΑΘΑΝΑΣΙΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Opposition	ΤΣΙΠΡΑΣ, ΑΛΕΞΙΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Chairperson	MP	Ν.Δ.	Νέα Δημοκρατία		ΤΑΣΟΥΛΑΣ, ΚΩΝΣΤΑΝΤΙΝΟΣ	M	-
ParlaMint-GR_2021-01-15-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	ΚΙΝ.ΑΛ.	Κίνημα Αλλαγής	Opposition	ΓΕΝΝΗΜΑΤΑ, ΦΩΤΕΙΝΗ	F	-
ParlaMint-GR_2021-01-15-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 62, 2021-01-15	2021-01-15	2021-01-15		ΙΗ					COVID	Regular	MP	Ν.Δ.	Νέα Δημοκρατία		ΜΗΤΣΟΤΑΚΗΣ, ΚΥΡΙΑΚΟΣ	M	-
