ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
u2017-11-20-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 autumn, meeting 88, day 5, 2017-11-20 [ParlaMint SAMPLE]	2017-11-20	2017-11-20		7		88	5		Reference	Chairperson	MP	Fidesz-frakció	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója	Coalition	Jakab, István	M	1949
u2017-11-20-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 autumn, meeting 88, day 5, 2017-11-20 [ParlaMint SAMPLE]	2017-11-20	2017-11-20		7		88	5		Reference	Guest	MP	KNDP-frakció	A Kereszténydemokrata Néppárt parlamenti frakciója	Coalition	Móring, József Attila	M	1968
u2017-11-20-237	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 autumn, meeting 88, day 5, 2017-11-20 [ParlaMint SAMPLE]	2017-11-20	2017-11-20		7		88	5		Reference	Regular	MP	Fidesz-frakció	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója	Coalition	Tilki, Attila	M	1967
u2017-11-20-238	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 autumn, meeting 88, day 5, 2017-11-20 [ParlaMint SAMPLE]	2017-11-20	2017-11-20		7		88	5		Reference	Chairperson	MP	Fidesz-frakció	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója	Coalition	Lezsák, Sándor	M	1949
