ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
u2014-05-06-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Guest	notMP				Áder, János	M	1959
u2014-05-06-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	JOBBIK	Jobbik Magyarországért Mozgalom		Bana, Tibor	M	1985
u2014-05-06-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Guest	notMP				Patyi, András	M	1969
u2014-05-06-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Guest	notMP				Pálffy, Ilona	F	1948
u2014-05-06-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	MSZP	Magyar Szocialista Párt		Demeter, Márta	F	1983
u2014-05-06-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Ágh, Péter	M	1982
u2014-05-06-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	JOBBIK	Jobbik Magyarországért Mozgalom		Dúró, Dóra	F	1987
u2014-05-06-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	JOBBIK	Jobbik Magyarországért Mozgalom		Dúró, Dóra	F	1987
u2014-05-06-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	JOBBIK	Jobbik Magyarországért Mozgalom		Dúró, Dóra	F	1987
u2014-05-06-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Regular	notMP	JOBBIK	Jobbik Magyarországért Mozgalom		Farkas, Gergely	M	1986
u2014-05-06-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Guest	notMP				Kövér, László	M	1959
u2014-05-06-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Chairperson	notMP	Fidesz	Fidesz – Magyar Polgári Szövetség		Turi-Kovács, Béla	M	1935
u2014-05-06-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Guest	notMP				Kövér, László	M	1959
u2014-05-06-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 1, day 1, 2014-05-06 [ParlaMint]	2014-05-06	2014-05-06		7		1	1		Reference	Guest	notMP				Kövér, László	M	1959
