ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
u2018-11-29-114	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-115	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Szilágyi, György	M	1966
u2018-11-29-116	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-117	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Potocskáné Kőrösi, Anita	F	1981
u2018-11-29-118	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-119	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	Parbeszed	Párbeszéd Magyarországért	Coalition	Szabó, Zsolt	M	1963
u2018-11-29-120	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-121	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	MSZP	Magyar Szocialista Párt	Opposition	Bangóné Borbély, Ildikó	F	1972
u2018-11-29-122	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-123	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	DK	Demokratikus Koalíció	Opposition	Varju, László	M	1961
u2018-11-29-124	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-125	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Rig, Lajos	M	1974
u2018-11-29-126	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-127	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Guest	notMP				Banai, Péter Benő	M	1974
u2018-11-29-128	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-129	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Lukács, László György	M	1983
u2018-11-29-130	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
