ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	BE	-	113	MCC	1999	5.6	5.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1999	-	-	-	-	-	-	5	-	-	-	6.2	0.8	-	6	5.4	6.5	6.2	6.4	-	-	-	6.4	-	3.8	-	1	9	4	5.8	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	BE	Agalev	105	AGALEV	1999	2.4	2.1	-	-	-	-	-	-	-	-	21112	-	-	-	-	-	1	-	1999	-	-	7.5	-	-	-	5.9	-	-	-	6.6	1.7	-	6	6.9	6.8	6.4	5.1	-	-	-	6.0	-	3.6	-	1	9	7	1.2	-	-	-	-	0.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	7	2020.1
1999-2019	BE	Agalev	105	AGALEV	2002	2.6	2.5	-	-	-	-	-	-	-	-	21112	-	-	-	-	-	1	-	1999	-	-	7.5	-	-	3.2	5.6	-	-	-	5.3	2.7	-	6.3	6.8	6.7	-	5.1	-	3.8	-	6.0	-	4.8	-	1	11	7	1.6	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	7	2020.1
1999-2019	BE	Agalev	105	AGALEV	2019	2.4	2.7	2	3	6.2	-	2.8	2.4	2.1	-	21112	2	-	-	-	2.2	1	2.4	2019	9.5	0.8	7.8	2	-	-	6	-	1.3	4.8	5.9	2.5	-	-	-	-	-	5.7	-	4.8	-	6.6	-	4.8	-	1	12	7	1.2	1.7	1	6.4	-	0.0	2.1	2.2	5.6	-	-	4	-	-	-	2.7	5.8	1.9	1.9	5.6	5.9	7	2.2	-	6.1	-	1.8	0.1	5.4	-	0.9	2.3	-	1.9	-	-	-	6.1	2020.1
-	BE	Agora	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	BE	B.U.B.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	BE	BANAAN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	BE	Be.One	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	BE	CD&V	109	CD&V	2002	6.0	5.8	-	-	-	-	-	-	-	-	21521	-	-	-	-	-	1	-	1999	-	-	13.5	-	-	6	6.5	-	-	-	4.7	1.8	-	5.8	5.1	6.2	-	6.6	-	5.8	-	6.6	-	5.2	-	1	11	4	7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.7	-	-	-	-	-	-	-	-	14.1	2020.1
1999-2019	BE	CD&V	109	CD&V	2006	5.6	5.6	-	-	-	-	-	-	6.4	6.9	21521	-	6.4	6.4	6.4	5.3	1	-	2003	-	-	13.1	5.3	5.1	-	-	-	-	-	6.1	1.9	-	-	-	6.3	-	6.1	-	5.7	-	6.3	-	4	3.6	1	10	4	7.2	-	-	-	-	0.0	-	5.9	5.6	-	-	-	-	-	-	-	-	7.1	-	-	-	6	3.6	7	3.6	5.9	6.5	-	14	6.9	6.4	5.5	5.9	6.8	4.2	6.3	3.6	13.3	2020.1
