country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
LV	SAKAŅA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LV	SASKAŅA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LV	VIENOTĪBA	V	2010	2020.1	6.75	6.56	-	-	-	-	-	-	4.57	4.83	-	-	-	-	5.43	5.57	0	-	2011	5.14	5.29	34.90	5.56	5.78	-	-	1.11	-	-	6	5.12	-	-	-	5.43	-	5.88	-	5.75	-	6.22	-	8.52	4.86	1	10	3	5.25	-	-	-	-	1.0	-	5.14	5.71	4.86	3.5	-	-	-	-	-	6.12	6.12	-	-	-	5.38	5.78	5.40	4.83	3	3.38	-	20	4.25	5.43	5.38	5.14	4.62	5.43	-	-	18.83
LV	VIENOTĪBA	V	2014	2020.1	6.90	6.67	-	-	7.33	-	-	1.88	4.12	-	-	8.22	-	-	-	5.62	0	7.5	2014	-	6.80	46.2	6.89	-	-	-	1	-	5.60	6.75	1.44	-	-	-	6.12	-	6.89	-	6.67	-	6.80	-	8.5	5.33	1	11	3	4	-	-	6	-	1.0	-	5.29	-	-	2	-	10	3	8	-	-	4.43	6.62	-	-	-	6.75	-	7.29	-	3	-	23	-	4.11	5.75	-	3	-	-	-	21.9
LV	VIENOTĪBA	V	2019	2020.1	6.91	7.18	3.67	3.17	7.82	-	2.09	2.5	4.64	-	-	5.83	-	-	-	6.36	0	6.75	2018	4.27	5.90	26.24	5.17	-	-	4.58	-	2.25	6.30	6.08	1.33	-	-	-	-	-	6	-	6.58	-	6.80	-	8.45	-	1	12	3	4.82	3.33	4.86	6	-	1.0	3.22	4.67	5.67	-	-	6.82	-	-	-	4	5.36	5.80	5.17	1.9	3.3	4.36	6.91	-	6	-	3.70	7	8	-	3.36	6.30	-	4.18	-	-	-	6.74
LV	ZZS	ZZS	2002	2020.1	3.75	3.67	-	-	-	-	-	-	-	-	87110	-	-	-	-	-	0	-	2002	-	-	-	-	-	6.25	4.5	-	-	-	6.5	5.56	-	-	4.33	3.33	-	4.67	-	3	-	4.75	-	4.17	-	0	4	7	6.33	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	.1	-	-	-	-	-	-	-	-	9.4
LV	ZZS	ZZS	2006	2020.1	5.0	6.0	-	-	-	-	-	-	6.25	3.67	87110	-	7.25	6	6	6.67	0	-	2006	-	-	4.30	6.25	7.33	-	-	-	-	-	5.5	4.5	-	-	-	4.75	-	5.5	-	4.5	-	5.0	-	5	4.5	1	4	7	5.75	-	-	-	-	1.0	-	7	4.33	-	-	-	-	-	-	-	-	8	-	-	-	2.33	7	4.67	2.33	2.75	3.75	-	18	4.75	7.5	5	5.33	6.5	6.33	6.75	5	16.71
LV	ZZS	ZZS	2010	2020.1	5.44	4.33	-	-	-	-	-	-	5.86	4	87110	-	-	-	5	4.29	0	-	2011	7.14	4.43	3.70	6.33	5.11	-	-	1.67	-	-	5.25	5.57	-	-	-	4.14	-	4.57	-	4	-	4.12	-	5.83	3.60	1	10	7	6	-	-	-	-	0.0	-	6.43	6	4.17	5.12	-	-	-	-	-	5.38	6.5	-	-	-	5	4.56	7.17	2.17	2.5	3.62	-	13	4.88	7.75	4.75	4	7.78	8.12	-	-	12.22
LV	ZZS	ZZS	2014	2020.1	5.90	5.67	-	-	7.44	-	-	5.5	5.57	-	87110	3.78	-	-	-	5	0	6.5	2014	-	5.67	8.30	6.89	-	-	-	1.5	-	4.25	6.38	5	-	-	-	4.25	-	5.25	-	5.38	-	5.0	-	6.10	4.25	1	11	7	7.22	-	-	5.22	-	0.5	-	6.29	-	-	3.88	-	18	4	10	-	-	5.86	7.38	-	-	-	6.71	-	4.33	-	4.12	-	21	-	7.22	5.86	-	7	-	-	-	19.5
LV	ZZS	ZZS	2019	2020.1	5.82	5.45	5.67	3.5	5.91	-	3.2	4.08	6.17	-	87110	3.17	-	-	-	4.91	0	5.75	2018	4.30	5.92	5.34	6.27	-	-	2.45	-	3.75	3.89	6.33	4.67	-	-	-	-	-	4.10	-	4.82	-	4.82	-	5.64	-	1	12	7	7.64	1.67	4.71	5.40	-	0.0	3.56	7.17	5.75	-	-	7.73	-	-	-	3.25	4.82	7	7.09	2.8	8.30	4.36	5.73	-	2.92	-	5	6.25	11	-	7.5	5.5	-	8.91	-	-	-	9.97
