Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA_2008-09-30-m0	ParlaMint-UA_2008-09-30-m0.u1	Корпус Верховної Ради України ParlaMint-UA, 6 скликання, 3 сесія, дата пленарного засідання 2008-09-30, номер засідання №0	2008-09-30	однопалатний парламент	6	3	-	2008-09-30	-	референтний	Українська	головуючий	MP	notMinister	фНУНС	Фракція "Наша Україна — Народна самооборона"	-	правоцентристи	АрсенійПетровичЯценюк.1974	Яценюк, Арсеній Петрович	M	1974	
ParlaMint-UA_2008-09-30-m0	ParlaMint-UA_2008-09-30-m0.u2	Корпус Верховної Ради України ParlaMint-UA, 6 скликання, 3 сесія, дата пленарного засідання 2008-09-30, номер засідання №0	2008-09-30	однопалатний парламент	6	3	-	2008-09-30	-	референтний	Українська	регулярний	MP	notMinister	фНУНС	Фракція "Наша Україна — Народна самооборона"	-	правоцентристи	ВячеславАнатолійовичКириленко.1968	Кириленко, В’ячеслав Анатолійович	M	1968	
ParlaMint-UA_2008-09-30-m0	ParlaMint-UA_2008-09-30-m0.u205	Корпус Верховної Ради України ParlaMint-UA, 6 скликання, 3 сесія, дата пленарного засідання 2008-09-30, номер засідання №0	2008-09-30	однопалатний парламент	6	3	-	2008-09-30	-	референтний	Українська	регулярний	MP	notMinister	фБЮТ	Фракція Виборчого блоку політичних партій "Виборчий блок Юлії Тимошенко"	-	універсальні партії	ПетроПетровичГасюк.1951	Гасюк, Петро Петрович	M	1951	
ParlaMint-UA_2008-09-30-m0	ParlaMint-UA_2008-09-30-m0.u206	Корпус Верховної Ради України ParlaMint-UA, 6 скликання, 3 сесія, дата пленарного засідання 2008-09-30, номер засідання №0	2008-09-30	однопалатний парламент	6	3	-	2008-09-30	-	референтний	Українська	головуючий	MP	notMinister	фПР	Фракція Партії регіонів	-	центристи	ОлександрВолодимировичЛавринович.1956	Лавринович, Олександр Володимирович	M	1956	
