ID	Title	From	To	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE_2020-12-03-55-plenair-ip073x.u1	Belgisch parlementair corpus ParlaMint-BE, plenaire zitting van 03-12-2020 [ParlaMint.ana SAMPLE]	2020-12-03	2020-12-03	55	-	ip073	-	-	COVID	Chairperson	MP	PS	Parti Socialiste	Tillieux, Eliane	F	1966
ParlaMint-BE_2020-12-03-55-plenair-ip073x.u2	Belgisch parlementair corpus ParlaMint-BE, plenaire zitting van 03-12-2020 [ParlaMint.ana SAMPLE]	2020-12-03	2020-12-03	55	-	ip073	-	-	COVID	Chairperson	MP	PS	Parti Socialiste	Tillieux, Eliane	F	1966
ParlaMint-BE_2020-12-03-55-plenair-ip073x.u169	Belgisch parlementair corpus ParlaMint-BE, plenaire zitting van 03-12-2020 [ParlaMint.ana SAMPLE]	2020-12-03	2020-12-03	55	-	ip073	-	-	COVID	Chairperson	MP	PS	Parti Socialiste	Tillieux, Eliane	F	1966
ParlaMint-BE_2020-12-03-55-plenair-ip073x.u170	Belgisch parlementair corpus ParlaMint-BE, plenaire zitting van 03-12-2020 [ParlaMint.ana SAMPLE]	2020-12-03	2020-12-03	55	-	ip073	-	-	COVID	Chairperson	MP	PS	Parti Socialiste	Tillieux, Eliane	F	1966
