country	pm_id	lr	encoder	wiki	comment
UA	#fr.apu	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Agrarian_Party_of_Ukraine	en.wiki
UA	#fr.bl	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Lytvyn_Bloc	The participating parties were C to CL (https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0) & https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	#fr.bpp	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/European_Solidarity	en.wiki
UA	#fr.but	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Batkivshchyna	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf; https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#fr.byut	BT	AnnaKryvenko	https://en.wikipedia.org/wiki/Yulia_Tymoshenko_Bloc	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#fr.es	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/European_Solidarity	en.wiki
UA	#fr.FU	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukraine_–_Forward!	en.wiki
UA	#fr.hol	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Holos_(political_party)	en.wiki
UA	#fr.kpu	FL	AnnaKryvenko	https://en.wikipedia.org/wiki/Communist_Party_of_Ukraine	en.wiki
UA	#fr.nf	CRR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Front_(Ukraine)	en.wiki
UA	#fr.np1	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Party_(Ukraine)	en.wiki
UA	#fr.np2	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Party_(Ukraine)	en.wiki
UA	#fr.nru	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Movement_of_Ukraine	en.wiki
