country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
DK	EL	EL	2014	2020.1	1.20	1.0	-	-	6.44	-	-	5.90	1.56	-	13229	3.40	-	-	-	1	1	0.60	2011	-	0.78	-	1.38	-	-	-	2.73	-	1.56	3	1.82	-	-	-	3.62	-	1.78	-	2.11	-	1.82	-	6.27	4.17	1	11	6	2.10	-	-	5.78	-	0.0	-	1.60	-	-	7.78	-	14	17	13	-	-	1.5	2.60	-	-	-	.5	-	5.43	-	0.67	-	6.70	-	1	0.60	-	2.89	-	-	-	6.6
DK	EL	EL	2019	2020.1	1.0	1.0	0.89	1	7.36	-	2.73	4.15	2.14	-	13229	1.62	-	-	-	1.46	1	1.54	2019	8.29	3	5.5	2	-	-	3.83	-	1.75	1.75	3.12	4	-	-	-	-	-	1.83	-	2.75	-	2.43	-	5.77	-	1	14	6	1.07	1.6	1.67	7.14	-	0.0	1.64	2.43	6.29	-	-	3.86	-	-	-	2.08	6.23	2.54	2.67	4.92	6.18	9.14	0.64	-	5.09	-	0.67	0.92	7.40	-	0.86	0.54	-	2.36	-	-	-	6.9
DK	FG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DK	IA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DK	JF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DK	KD	KRF	1999	2020.1	5.43	5.71	-	-	-	-	-	-	-	-	13520	-	-	-	-	-	1	-	1998	-	-	2	-	-	-	5.17	-	-	-	5	3.93	-	4.67	6	4	3.14	4.71	-	-	-	4.71	-	3.93	-	1	7	10	5.40	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.2	-	-	-	-	-	-	-	-	2.4
DK	KF	KF	1999	2020.1	7.14	7.29	-	-	-	-	-	-	-	-	13620	-	-	-	-	-	1	-	1998	-	-	8.5	-	-	-	5.67	-	-	-	5.14	2.86	-	4.83	6	4.86	4.5	5.86	-	-	-	6.0	-	5.42	-	1	7	2	6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.90	-	-	-	-	-	-	-	-	8.9
DK	KF	KF	2002	2020.1	7.0	6.85	-	-	-	-	-	-	-	-	13620	-	-	-	-	-	1	-	2001	-	-	8.5	-	-	4.83	4.75	-	-	-	4.3	2.22	-	4.27	4.83	4.46	-	5.5	-	5.33	-	5.54	-	6.67	-	1	13	2	7.23	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.90	-	-	-	-	-	-	-	-	9.1
DK	KF	KF	2006	2020.1	7.11	7.5	-	-	-	-	-	-	8	6.80	13620	-	6.75	6	6.60	7.60	1	-	2005	-	-	11.30	6	6.5	-	-	-	-	-	5	1.67	-	-	-	4.25	-	5.86	-	6.63	-	6.22	-	4.43	3.75	1	9	2	6.75	-	-	-	-	1.0	-	7.60	7.5	-	-	-	-	-	-	-	-	8	-	-	-	5.20	7	2.25	6.25	4.25	3.20	-	10.1	4.5	5.20	6.80	7.20	3.33	1.25	7.25	4.75	10.3
DK	KF	KF	2010	2020.1	7.55	7.82	-	-	-	-	-	-	8.30	7.30	13620	-	-	-	5.22	7.5	1	-	2007	4.5	6.82	12.69	6.90	6.36	-	-	1.18	-	-	5.25	2.5	-	-	-	5.56	-	4.90	-	6.45	-	5.91	-	3.33	3.78	1	11	2	6.70	-	-	-	-	1.0	-	7.73	6.73	6.60	3	-	-	-	-	-	6.73	7.45	-	-	-	5.91	6.45	3.12	5.62	4.60	4.25	-	10.1	5	6	8.09	8.36	3.45	3.30	-	-	10.4
