country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
NL	Bontes/Van Klaveren	PVV	2014	2020.1	9.25	4.56	-	-	5.11	-	-	9.43	9.33	-	22722	5	-	-	-	5.17	1	4.88	2012	-	8.20	13.3	9.86	-	-	-	3	-	1	1.20	0.89	-	-	-	1.29	-	1.12	-	2.12	-	1.09	-	8.36	1	1	11	1	7.78	-	-	4.89	-	0.0	-	9.88	-	-	7.5	-	9	7	11	-	-	9.78	9.75	-	-	-	5	-	6.5	-	3.62	-	10	-	3.71	4.38	-	5	-	-	-	10.1
NL	Bontes/Van Klaveren	PVV	2019	2020.1	8.69	6.46	6.38	4.33	3.92	-	9.92	9.67	9.09	-	22722	3.44	-	-	-	6.09	1	6	2017	4	9	3.53	9.75	-	-	1.10	-	1.44	1.1	1	0	-	-	-	-	-	1	-	1.70	-	1.31	-	7.08	-	1	13	1	7.23	3.40	1.33	5.92	-	0.0	0.17	9.92	9.91	-	-	10	-	-	-	0.27	10	9.92	9.83	9.27	8.33	4.18	5.83	-	7.25	-	3.44	2.25	13.3	-	4.80	6.18	-	5.75	-	-	-	13.1
NL	CDA	CDA	1999	2020.1	5.20	5.30	-	-	-	-	-	-	-	-	22521	-	-	-	-	-	1	-	1998	-	-	26.94	-	-	-	6.30	-	-	-	4.71	1.82	-	5.22	5.44	5.82	5.10	5.90	-	-	-	6.45	-	4.77	-	1	11	4	6.73	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19.30	-	-	-	-	-	-	-	-	18.40
NL	CDA	CDA	2002	2020.1	6.13	6.22	-	-	-	-	-	-	-	-	22521	-	-	-	-	-	1	-	2002	-	-	26.94	-	-	5.88	5.63	-	-	-	5	1.81	-	4.83	4.86	5	-	5.29	-	5.25	-	5.78	-	5.20	-	1	9	4	6.89	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28.70	-	-	-	-	-	-	-	-	27.9
NL	CDA	CDA	2006	2020.1	6.09	5.56	-	-	-	-	-	-	6.67	4.20	22521	-	5.80	5.20	4.60	5.80	1	-	2006	-	-	24.40	5.40	5.20	-	-	-	-	-	4.8	3.25	-	-	-	5	-	4.86	-	5.78	-	5.33	-	4.23	3.38	1	12	4	6.7	-	-	-	-	1.0	-	6.33	5.83	-	-	-	-	-	-	-	-	7	-	-	-	4.60	5.29	2.33	4	7.20	7.13	-	27.30	5.33	5.67	4.86	4.67	6.75	6	7	5	26.5
NL	CDA	CDA	2010	2020.1	6.29	6.5	-	-	-	-	-	-	7.09	6.09	22521	-	-	-	6.10	6.25	1	-	2010	3.91	7	20.05	6	5.5	-	-	1	-	-	5.25	2.92	-	-	-	5	-	5.10	-	5.82	-	5.29	-	5.48	3.67	1	14	4	7.14	-	-	-	-	1.0	-	7	6.27	6.20	2.40	-	-	-	-	-	6.09	7	-	-	-	5.27	6.09	3	5.75	7.45	7.73	-	14	5.27	5.91	6	6.23	7.60	5.60	-	-	13.6
NL	CDA	CDA	2014	2020.1	6.78	6.56	-	-	6.67	-	-	1.43	6.89	-	22521	1.33	-	-	-	6.78	1	5.89	2012	-	6.25	15.2	5.71	-	-	-	1	-	4.57	6	3.78	-	-	-	4.86	-	5.38	-	6.25	-	5.55	-	4.73	3.71	1	11	4	6.44	-	-	5.11	-	0.0	-	6.5	-	-	3.5	-	13	8	14	-	-	6.89	6.25	-	-	-	6.33	-	3.33	-	6.89	-	8.70	-	5.44	6.67	-	7.57	-	-	-	8.5
NL	CDA	CDA	2019	2020.1	6.85	6.69	3.25	3.67	5.83	-	4	1	7	-	22521	1.67	-	-	-	6.58	1	5.67	2017	4.08	6.54	12.18	5.58	-	-	4	-	4.75	4.10	5.29	2	-	-	-	-	-	4.11	-	6.10	-	5.33	-	4.42	-	1	13	4	7.15	3.2	2.67	6.33	-	1.0	5	7	5.64	-	-	6.27	-	-	-	4.36	5.73	6.83	6.83	1.64	3.91	6.09	6	-	2.8	-	7.08	3	12.7	-	5.73	6.25	-	8	-	-	-	12.4
NL	CU	CU	2002	2020.1	6.63	5.33	-	-	-	-	-	-	-	-	22526	-	-	-	-	-	1	-	2002	-	-	-	-	-	4.83	5	-	-	-	4.25	1.11	-	4.33	5.25	3.71	-	5	-	3.83	-	4.22	-	3.70	-	1	9	10	8.78	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.7	-	-	-	-	-	-	-	-	2.5
NL	CU	CU	2006	2020.1	6.0	4.13	-	-	-	-	-	-	6.80	5.25	22526	-	6.60	6	5	3.5	1	-	2006	-	-	5.90	4.80	5.20	-	-	-	-	-	3.2	1	-	-	-	4.25	-	4.67	-	3.75	-	3.45	-	3.67	2.33	1	12	10	8.4	-	-	-	-	0.0	-	5.67	5.33	-	-	-	-	-	-	-	-	6.67	-	-	-	5.60	4.17	1.67	5	8.80	9	-	4	6.5	8.33	4.17	5.80	6.25	6	6.20	3.67	4
