Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL_2017-07-20-sejm-46-3	ParlaMint-PL_2017-07-20-sejm-46-3.u1	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 46, Day 3 (2017-07-20)	2017-07-20	Lower house	8. kadencja Sejmu	46. sesja Sejmu	-	3. dzień sesji Sejmu	-	Reference	Polish	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	RyszardTerlecki	Terlecki, Ryszard	M	1949
ParlaMint-PL_2017-07-20-sejm-46-3	ParlaMint-PL_2017-07-20-sejm-46-3.u2	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 46, Day 3 (2017-07-20)	2017-07-20	Lower house	8. kadencja Sejmu	46. sesja Sejmu	-	3. dzień sesji Sejmu	-	Reference	Polish	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	KrzysztofKubów	Kubów, Krzysztof	M	1984
ParlaMint-PL_2017-07-20-sejm-46-3	ParlaMint-PL_2017-07-20-sejm-46-3.u412	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 46, Day 3 (2017-07-20)	2017-07-20	Lower house	8. kadencja Sejmu	46. sesja Sejmu	-	3. dzień sesji Sejmu	-	Reference	Polish	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	LidiaGądek	Gądek, Lidia	F	1967
ParlaMint-PL_2017-07-20-sejm-46-3	ParlaMint-PL_2017-07-20-sejm-46-3.u413	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 46, Day 3 (2017-07-20)	2017-07-20	Lower house	8. kadencja Sejmu	46. sesja Sejmu	-	3. dzień sesji Sejmu	-	Reference	Polish	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BarbaraDolniak	Dolniak, Barbara	F	1960
