country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
HR	0	1	2019	24	3108		HSU	.6	.69999999	2016		9	0.0	5.761904716491699	3.4210527	1	2.909091				4.461538314819336		3.8333333		6.066666603088379		4.111111164093018	4.272727489471436		4.400000095367432	2.761904716491699	6.1428571	1.125	4.3333335	4.941176414489746	2.5999999	2.8181818	4.6666665	2.400000095367432		2.777777671813965		2.333333253860474	7.523809432983398	2.5454545	5.25		4.5		3.615384578704834		5.300000190734863	2.263157844543457	1.8888888	4.6666665	1.25	2.1111112	4.571428775787354		5.2857141	1.7333333			6.7222223	5.0999999						4.1875		4.5714288	.66666669	.17647059	3.6875	1.5	3.5	8.6111107				2020.1
HR	0	1	2014	9	3106	81953	IDS	1.5	2	2011	7.5	8	1.0	6.777777671813965	8.666667	.71428573		1.1111112	6		6.375		4.75		6.875			6.142857074737549	5.25	3.333333253860474	5.333333492279053	6.75			1.875	7			5.571428775787354		5.888888835906982		4.857142925262451		5.2222223	2.25		1.666666626930237		2.111111164093018		3			2.2			3.714285612106323		5.5555553					2		4.25				1.222222208976746		1.1111112				2.1111112	4.875		4	8	11	2020.1
HR	0	1	2019	24	3106	81953	IDS	2.18	2	2016	5.2	8	0.0	6.947368621826172	8.130435	.625	.75				6.304347991943359		5.4285712		6.857142925262451		5.409090995788574	5.949999809265137		3.25	5.26086950302124	6.869565	2.2222223	2.7692308	1.333333373069763	7.6086955	1	2.5	4.956521511077881		5.952381134033203		4.476190567016602	5.699999809265137	5	2.52173924446106		1.08695650100708		1.04347825050354		3.666666746139526	3.349999904632568	1.45	2	4	1.0555556	3.952380895614624		4.5999999	4.8095236			4.9047618	.58333331						.9583333134651184		1.2173913	.8888889	.9130435	2.826087	1.25	3.826087	8.409091				2020.1
HR	0	1	2019	24	3117		MB 365	3.8	1.4	2016	1.97	5	0.0	4.75	3.2173913	2.25	4.5384617				4.625		4		5.888888835906982		3.666666746139526	4.285714149475098		5.636363506317139	3.666666746139526	5.4347825	1.75	6.1538463	6.043478488922119	3.5217392	3.2857144	6.5999999	3.454545497894287		4.388888835906982		3.272727251052856	6.368421077728271	3.4210527	5.238095283508301		5.545454502105713		6.130434989929199		6.588235378265381	2.578947305679321	1.7333333	5.4615383	2.1333334	2	3.70588231086731		6.5	2.4705882			6.2777777	3.55						4.047618865966797		5.5454545	1.2777778	.66666669	3.4545455	3.5416667	1.4347826	9.541667				2020.1
HR	0	1	2019	24	3115		Most	9.43	8.8000002	2016	4.67	2	0.0	3.818181753158569	5.6086955	3.8571429	4.4375				3.52173924446106		2.5217392		5.699999809265137		2.142857074737549	2.454545497894287		7.82608699798584	5.772727489471436	6.347826	3	6.2307692	8.5	7.304348	2.9375	6	5.5		4.681818008422852		4.449999809265137	5.894736766815186	4.7272725	7.5		8.391304016113281		8.52173900604248		8.695652008056641	6.65217399597168	1.8571428	8.8421049	4.5999999	2.2105262	6.904761791229248		5.3684211	3.8571429			7.5652175	3.1363637						7.82608699798584		8.652174	1.75	2.9545455	7.2173915	8.391304	7.5652175	8.304348				2020.1
HR	0	1	2019	24	3118		NS-R	1.54	.69999999	2016		3	0.0	6.4210524559021	5.6666665	2	1.5				6.176470756530762		5.3333335		6.5		4.857142925262451	5.066666603088379		4.636363506317139	6.0	7.6190476	1.5555556	3.3636363	2.954545497894287	5.3499999	1.4375	5.5	6.428571224212646		6.666666507720947		5.761904716491699	5.050000190734863	6.2272725	3.761904716491699		3.333333253860474		2.799999952316284		4.400000095367432	3.222222328186035	1.375	3.9285715	2.9333334	1.375	3.133333444595337		6.7857141	2.8235295			4.1052632	3.3529413						3.473684310913086		3.5238094	1.1875	.61904764	2.7727273	2.1818182	3.7368422	8.9523811				2020.1
HR	0	1	2014	9	3114		ORaH			2011	9.4	7	0.0	6.111111164093018	8.1111107	1		1.2222222	6.166666507720947		4.75		4		6.375			4.428571224212646	5.75	2.444444417953491	3.0	6.5			1	7.8888888			4.777777671813965		3		3.125		2.375	1.285714268684387		.7777777910232544		1.111111164093018		1.833333373069763			1			3.142857074737549		1.1111112					2.5714285		7				1.222222208976746		.77777779				4.4444447	7.125		6	16	26	2020.1
HR	0	1	2014	9	3102	81223	SDP	31.3	40.400002	2011	15	5	1.0	6.55555534362793	8.7777777	1.2222222		1	6.166666507720947		6.25		5		6.875			6.25	5.400000095367432	3.555555582046509	4.777777671813965	7.375			2.25	7.4444447			5		5.666666507720947		4.25		4.3333335	3		2		2.111111164093018		3.714285612106323			3.2			2.285714387893677		5.5555553					4.625		3.375				2.222222328186035		2.2222223				1.7777778	6.3333335		13	8	14	2020.1
HR	0	1	2019	24	3102	81223	SDP	23.26	26.5	2016	18.71	5	0.0	6.625	7.75	1.625	1.25				5.91304349899292		5.0869565		6.61904764175415		4.863636493682861	5.454545497894287		3.416666746139526	3.833333253860474	7.375	4	4.1538463	2.291666746139526	7.9583335	1.8333334	3	3.52173924446106		3.73913049697876		3.545454502105713	6.818181991577148	3.3043478	3.73913049697876		1.73913037776947		1.583333373069763		4.52173900604248	4.625	2.6190476	4	3.7619047	2.45	3.363636255264282		5.090909	4.409091			5.521739	4.9565215						2.5		2.7083333	1.8	.91666669	2.375	1.5416666	6.0833335	7.7916665				2020.1
HR	0	1	2019	24	3110		SDSS	2	2	2016	2.66	5	0.0	6.17391300201416	5.7619047	1.6	2.3846154				4.75		4.1428571		6.5		5.066666603088379	5		3.083333253860474	2.736842155456543	3.5454545	1.125	4	2.904761791229248	5.0952382	1.6666666	4.25	2.894736766815186		3.0625		3.052631616592407	6.199999809265137	2.7777777	2.599999904632568		2.30434775352478		2.39130425453186		3.764705896377563	2.900000095367432	2	2	3.6666667	1.3125	5.411764621734619		4.3000002	2			6.25	3.0588236						.4583333432674408		2.8181818	1.375	.76190478	2.6470587	1.75	3.3157895	8.565217				2020.1
HR	0	1	2019	24	3116		ZZ	5.92	5.4000001	2016	5.66	9	0.0	1.818181872367859	6.9130435	3.2857144	2.1875				2.272727251052856		1.4347826		4.142857074737549		1.523809552192688	1.363636374473572		4.789473533630371	3.190476179122925	6.3636365	3.0999999	6.6153846	4.956521511077881	4.826087	3.9411764	6.8333335	4.263157844543457		3.052631616592407		2.809523820877075	6.761904716491699	2.9523809	4.090909004211426		4.699999809265137		3.388888835906982		7.333333492279053	6.142857074737549	3.1052632	6.3333335	4.125	2.5714285	3.8125		4.352941	4.3333335			8.3684206	3.8666666						5.368421077728271		5.3636365	3.3157895	2.45	8.478261	9.583333	8.304348	8.347826				2020.1
