country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
BG	0	1	2014	20	2013		DBG	2.7	2.9000001	2014	2.2	9	0.5	6.75	8.625	1.3125		1.0588236	5.615384578704834		6.428571224212646		5.7333331		6.800000190734863			6.599999904632568	4.916666507720947	6.133333206176758	6.533333301544189	7.1176472			3.588235378265381	5.5			6.071428775787354		7.071428775787354		6.599999904632568		6.75	4		3.142857074737549		3.928571462631226		4.538461685180664			3.7692308			3		5.1999998					3.9000001		3.5				4.071428775787354		3				4.7058825	7.6875		8	3	13	2020.1
BG	0	0	2002	11	2004	80951	DPS	7.5	8.8000002	2001		3	1.0	6.55	8.8000002	1.7777777			5.5		5.83	6		6.43	6.71	5.33	6.25	5.6		4.91	4.55				6.11																																																2020.1
BG	0	0	2006	12	2004	80951	DPS	12.8	14.2	2005		3	1.0	6.33	8.5999994	1.25			5.78		5.5				7			5.55	6.91	4.58	4.0				7.08				3.730000019073486	5.900000095367432	4.110000133514404	3.559999942779541	3.549999952316284	5.099999904632568		5.269999980926514	5.300000190734863	6.670000076293945	3.380000114440918	5.400000095367432	4	4.670000076293945	3.430000066757202		3.1300001			7.699999809265137	6.630000114440918			5.1399999	5.3299999		3.8599999	3.5			5.73	4.73	2.079999923706055	8.359999656677246											2020.1
BG	0	1	2010	14	2004	80951	DPS	14.5	15.8	2009	14.14000034332275	3	0.0	5.818181991577148	5.151515	2.75		1.1818181	5.599999904632568		5.142857074737549				6.5			5.75	6.727272510528564	4.272727489471436	3.181818008422852				7.636363983154297				3.200000047683716	6	3.125	5.571428775787354	3.5	6.625		5.599999904632568	5.900000095367432	7	4.125	6.090909004211426	4.699999809265137	5.625	4.714285850524902		4.5999999	4.6666665		9.100000381469727	8.800000190734863	7	3				4.5	5.5	5.5714288	3			1.181818127632141	9.818181991577148											2020.1
BG	0	1	2014	20	2004	80951	DPS	14.8	15.8	2014	17.3	3	0.5	6.0	6.7647057	2.0625		1.1176471	5.307692527770996		5.25		4.4375		6.625			5.176470756530762	6.764705657958984	4.6875	4.352941036224365	6.1176472			6.588235378265381	4.4375			4.5		4.466666698455811		4.235294342041016		4	4.75		6.214285850524902		5.25		4.833333492279053			2.6153846			7.411764621734619		7.25					3.8333333		4.8333335				1.200000047683716		4.2352943				4.0588236	3.1764705		7	18	11	2020.1
BG	0	1	2019	21	2004	80951	DPS	9.24	10.8	2017	16.6	3	0.0	6.25	7.0500002	1.4	3.3333333				5.842105388641357		4.5333333		6.736842155456543		4.400000095367432	5		4.714285850524902	4.952381134033203	6.5999999	1.2	3.909091	6.142857074737549	5.4761906	2.4166667	3.75	4.400000095367432		5.150000095367432		4.599999904632568	4.5	4.6999998	4.473684310913086		5.222222328186035		5.133333206176758		5.599999904632568	4.238095283508301	1.4444444	3.8823528	3.8888888	1.3333334	7.199999809265137		6.1500001	2.8			5.6842103	3.6666667						.75		5.1052632	4.2222223	3.45	2.8499999	3.0952382	3.25	9.4285717				2020.1
BG	0	0	2006	13	2008	80610	DSB	6.4	7.0999999	2005		2	0.0	6.38	8.5999994	1.58			5.67		6.6				6.91			6	3.27	7.85	7.83				4.5				7.730000019073486	6.199999809265137	8	6.440000057220459	7.179999828338623	3.819999933242798		5.420000076293945	6.699999809265137	5.400000095367432	3.25	5.300000190734863	3.380000114440918	5.329999923706055	3.569999933242798		5.8800001			3.099999904632568	4.75			5.2199998	5.0999999		5.3299999	3.8299999			7.8200002	5.4499998	5.25	5.909999847412109											2020.1
BG	0	1	2010	14	2008	80610	DSB	3.4	3.2	2009	3.974999904632568	2	0.0	6.454545497894287	7.8787875	.89999998		1	5.285714149475098		6.5				6.666666507720947			6.142857074737549	4.400000095367432	8.083333015441895	8.181818008422852				4.363636493682861				8.300000190734863	6.099999904632568	8.222222328186035	8.142857551574707	7.666666507720947	6.125		4.75	8	4.333333492279053	4.099999904632568	5.300000190734863	4.222222328186035	5	3.714285612106323		6.1428571	4.5714288		1.375	4.875	6	4.1428571				3.2857144	4.75	3.8571429	4.7142859			4.699999809265137	6											2020.1
BG	0	1	2014	20	2008	80610	DSB	3.5	3.8	2014	2.9	2	0.5	6.588235378265381	7.7647057	1.2857143		1	4.928571224212646		6.4375		5.1176472		6.666666507720947			6.529411792755127	4.400000095367432	7.5625	8.0	8.0588236			4.117647171020508	5.4375			7.466666698455811		7.933333396911621		7.882352828979492		8.0588236	4.705882549285889		3.9375		4.8125		5.153846263885498			4.3571429			3.117647171020508		5.5294118					3.7777777		3.5999999				4.466666698455811		3.4705882				4.5882354	7.7058825		3	8	5	2020.1
BG	0	1	2019	21	2008	80610	DSB	2.54	0	2017	6.1	2	0.0	6.823529243469238	8.7368422	1.8	.77777779				6.5789475440979		5.5		6		4.9375	5.777777671813965		7.449999809265137	7.949999809265137	7.3000002	2	3.4545455	4.684210300445557	6.4000001	2.6666667	3.1428571	6.650000095367432		7.550000190734863		6.599999904632568	5.666666507720947	8.1000004	4		4.631578922271729		3.9375		5.449999809265137	4.349999904632568	2.3333333	5.0526314	4.8333335	2.4117646	2.388888835906982		4.9000001	4.75			2.0555556	2.2307692						3.833333253860474		3.6842105	7.0526314	2.5555556	2.7	4.6999998	8	5.25				2020.1
