country	year	eastwest	party	party_id	eu_position	eu_position_sd	eu_salience	eu_dissent	eu_blur	eu_cohesion	eu_foreign	eu_intmark	eu_budgets	eu_asylum	lrgen	lrecon	lrecon_sd	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_sd	galtan_salience	galtan_dissent	galtan_blur	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	redistribution	redist_salience	environment	enviro_salience	spendvtax	deregulation	econ_interven	civlib_laworder	sociallifestyle	religious_principles	ethnic_minorities	nationalism	urban_rural	protectionism	regions	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	eu_econ_require	eu_political_require	eu_googov_require
TR	2019		AKP	3401	3.7777777	1.9860625	3.1111112	2	6.5999999						8.0	6.7777777	1.5634719	8.666667	2.8	4.25	9.4444447	0.72648317	8.2222223	1.2	2.5	5.0	7.5	4.125	6.375	7.5	4	6.5	4.125	9.0	1.6666666	4	6.75	4.2222223	9.4444447	9.4444447	9.666667	8.7777777	9.333333	5.875	3.625	9.333333	3.5999999		4.125	7.75	0.375	9.7777777	5	1.625	1.8571428
TR	2019		CHP	3402	6.1111112	0.60092521	4.2222223	3.25	2.75						3.6666667	4.0	0.86602539	8.5555553	3.4000001	2.5	3.4444444	1.5898987	7.3333335	3.2	4.25	8.125	8.25	4.25	6.375	7.875	3	2.75	7.5	3.1111112	6.8888888	2.1428571	3.5	4.1111112	2.5555556	2.6666667	1.0	4.75	3.4444444	2.875	5.25	5.1111112	4.0		4.0	4.25	8.875	6.1111112	5.875	5.8888888	6.25
TR	2019		HDP	3407	6.3333335	0.70710677	4.3333335	2.5	.5						1.6666666	1.875	0.35355338	6.4444447	2.75	3	1.3333334	0.86602539	8.2222223	1.2	1.75	3.1428571	5.5714288	2.2	2.75	4.5714288	1.4	.75	8.25	1.0	7.5555553	1.6666666	2.1428571	3.375	.33333334	1.0	0.44444445	0	.8888889	5.125	6.1428571	0	2.5999999		5.75	6.125	8.875	4.125	5.5714288	7	6.75
TR	2019		IYI	3408	5.0	1.0	2.6666667	2	4.25						7.1111112	5.875	1.4577379	7.875	4.75	4	5.625	1.0606601	6.875	3.5999999	3.3333333	8.25	8.0	2.5	8.75	8	2.25	4	6.0	4.5	4.625	4.1428571	4.5714288	5.0	5	6.375	5.0	6.7777777	7.8888888	4.4285712	5.7142859	8.625	5.0		3.875	4.7142859	8.125	8.1111107	5	4.5555553	5.375
TR	2019		MHP	3403	2.2222223	0.83333331	2.6666667	.25	1.75						9.333333	7.0	2.3299296	4.875	1.8	5.6666665	9.4444447	0.88191712	6.875	.2	1	8.125	8.25	1.625	9.25	8.5	.83333331	6.375	3.1428571	7.8888888	0.625	4.1428571	5.0	4.25	9.5555553	9.7777777	8.0	10	10	6.0	6	10	4.5999999		3.125	5.4285712	0.5	9.75	3	1.25	1.8571428
