ID	Title	From	To	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2017-03-16-CD170316.u1	Plenary session 37 (2017-03-16)	2017-03-16	2017-03-16	12	37	-	-	-	Reference	Chairman	-	-	-	-	-	-
ParlaMint-ES_2017-03-16-CD170316.u2	Plenary session 37 (2017-03-16)	2017-03-16	2017-03-16	12	37	-	-	-	Reference	Regular	MP	-	-	Serna Hernáiz, Íñigo Joaquín	M	1971
ParlaMint-ES_2017-03-16-CD170316.u111	Plenary session 37 (2017-03-16)	2017-03-16	2017-03-16	12	37	-	-	-	Reference	Chairman	-	-	-	-	-	-
ParlaMint-ES_2017-03-16-CD170316.u112	Plenary session 37 (2017-03-16)	2017-03-16	2017-03-16	12	37	-	-	-	Reference	Chairman	-	-	-	-	-	-
