COUNTRY	PM_ABBR	CHES_ID	YEAR	LR_SCORE	LR_CHES	LR_WIKI	URL_WIKI
FR	0	AC	2014	6.599999904632568	R		
FR	0	CPNT	1999	7.800000190734863	R		
FR	0	D	1999	7.658333301544189	R		
FR	0	DL	1999	7.214285850524902	R		
FR	0	DL	2002	7.07	R		
FR	0	DLF	2019	9.0	R		
FR	0	EELV	2014	3.083333253860474	L		
FR	0	EELV	2019	2.5	L		
FR	0	Ensemble	2014	2.5	L		
FR	FI	FI	2019	1.25	L		
FR	0	FN	1999	8.70714282989502	R		
FR	0	FN	2002	9.92	R		
FR	0	FN	2006	10.0	R		
FR	0	FN	2010	9.88888931274414	R		
FR	0	FN	2014	9.636363983154297	R		
FR	0	LO-LCR	1999	0.1428571492433548	L		
FR	LR	LR	2019	7.875	R		
FR	0	LREM	2019	6.333333492279053	R		
FR	0	MEI	1999	4.0	L		
FR	0	MN	1999	8.278571128845215	R		
FR	MODEM	MODEM	2010	5.111111164093018	C		
FR	MODEM	MODEM	2014	5.909090995788574	R		
FR	0	MPF	2006	8.63	R		
FR	0	MPF	2010	9.0	R		
FR	0	MPF	2014	9.100000381469728	R		
FR	0	MoDem	2019	6.125	R		
FR	0	NC	2010	5.833333492279053	R		
FR	0	NC	2014	6.272727489471436	R		
FR	0	PCF	1999	1.571428537368774	L		
FR	0	PCF	2002	1.62	L		
FR	0	PCF	2006	0.89	L		
FR	0	PCF	2010	1.111111164093018	L		
FR	0	PCF	2014	1.75	L		
FR	0	PCF	2019	1.125	L		
FR	0	PG	2014	1.700000047683716	L		
FR	0	PRG	1999	4.428571224212646	L		
FR	0	PRG	2002	3.62	L		
FR	0	PRG	2006	4.11	L		
FR	0	PRG	2010	3.625	L		
FR	0	PRG	2014	3.818181753158569	L		
FR	0	PRV	2014	6.142857074737549	R		
FR	0	PS	1999	3.428571462631226	L		
FR	0	PS	2002	3.85	L		
FR	0	PS	2006	2.89	L		
FR	0	PS	2010	2.777777671813965	L		
FR	0	PS	2014	3.833333253860474	L		
FR	0	PS	2019	3.0	L		
FR	0	RN	2019	9.75	R		
FR	0	RPF	1999	7.714285850524902	R		
FR	0	RPR	1999	7.214285850524902	R		
FR	0	RPR	2002	7.0	R		
FR	0	UDF	1999	6.428571224212646	R		
FR	0	UDF	2002	5.85	R		
FR	0	UDF	2006	5.33	R		
FR	0	UMP	2006	7.44	R		
FR	0	UMP	2010	7.222222328186035	R		
FR	0	UMP	2014	7.666666507720947	R		
FR	0	VERTS	1999	3.142857074737549	L		
FR	0	VERTS	2002	2.75	L		
FR	0	VERTS	2006	2.56	L		
FR	0	VERTS	2010	2.555555582046509	L		
FR	AGIR-E	0	0	0	0		
FR	EDS	0	0	0	0		
FR	GDR	0	0	0	0		
FR	LAREM	0	0	0	0		
FR	LC	0	0	0	0		
FR	LT	0	0	0	0		
FR	NG	0	0	0	0		
FR	NI	0	0	0	0		
FR	SOC	0	0	0	0		
FR	UDI-A-I	0	0	0	0		
FR	UDI-AGIR	0	0	0	0		
FR	UDI-I	0	0	0	0		
FR	UDI_I	0	0	0	0		
