ID	Speeches	W.Spks	W.NCs	Heads	Notes	Incidents	Gaps
AT	231759	231759	231759	0	680688	337759	15162
BA	126252	126030	126252	0	126326	3483	3679
BE	199305	198684	199262	0	508639	992	4535
BG	210018	208565	210018	0	0	51652	0
CZ	196185	196185	196185	0	243108	33355	1086
DK	398610	398610	398610	14302	14302	0	0
EE	227872	227872	227850	0	233814	0	0
ES-CT	50824	50824	50811	283	67172	21099	127
ES-GA	83078	83078	83078	0	91441	58417	0
ES-PV	39148	39148	39145	0	47882	0	0
ES	76369	43886	76369	2640	5886	71182	694
FI	146858	146858	146858	6806	10635	42150	0
FR	714860	697095	714858	22123	22126	91128	0
GB	670912	667916	670912	31215	191793	0	0
GR	342274	342274	342274	7578	365334	54775	1263
HR	504338	497137	504337	0	498874	29145	51084
HU	116346	116325	116345	0	154671	99632	37
IS	95286	95286	95286	0	137	49810	0
IT	172796	172796	172796	13170	193510	74054	0
LV	162782	162782	162782	0	163720	0	0
NL	609248	609248	609248	6100	783558	0	0
NO	398809	396858	398809	20123	1.565683E6	0	0
PL	228326	228326	228326	686	241406	248396	1606
PT	248577	248577	248577	1832	43547	92459	0
RS	316069	315896	316069	0	318697	4203	1786
SE	84662	83436	84662	15819	370551	9656	0
SI	311354	311354	311354	4706	392734	3668	38654
TR	681052	681052	681052	0	109555	114378	0
UA	429437	429417	429437	0	730120	22819	1157
