Country	orgType	orgID	AbbrName	FullName	From	To	Orientation-LR	Wikipedia	CHES-ID	CHES-Name
AT	politicalParty	politicalParty.FPÖ	FPÖ	Freiheitliche Partei Österreichs	1956-04-07	-	Rechts bis extrem Rechts	https://de.wikipedia.org/wiki/Freiheitliche_Partei_%C3%96sterreichs	1303	FPO
AT	politicalParty	politicalParty.GRÜNE	GRÜNE	Die Grünen – Die Grüne Alternative	1993-01-01	-	Mitte-links bis Links	https://de.wikipedia.org/wiki/Die_Gr%C3%BCnen_%E2%80%93_Die_Gr%C3%BCne_Alternative	1304	GRUNE|Grune
AT	politicalParty	politicalParty.NEOS	NEOS	NEOS – Das Neue Österreich und Liberales Forum	2014-01-25	-	Mitte	https://de.wikipedia.org/wiki/NEOS_%E2%80%93_Das_Neue_%C3%96sterreich_und_Liberales_Forum	1306	NEOS
AT	politicalParty	politicalParty.STRONACH	STRONACH	Team Stronach	2012-09-25	2017-12-31	Mitte-rechts bis Rechts	https://de.wikipedia.org/wiki/Team_Stronach	1310	TeamStronach
AT	politicalParty	politicalParty.LIF	LIF	Liberales Forum	1993-02-04	2014-01-25	Mitte	https://de.wikipedia.org/wiki/Liberales_Forum	1306	LIF
AT	politicalParty	politicalParty.BZÖ	BZÖ	Bündnis Zukunft Österreich	2005-04-17	-	Rechts bis extrem Rechts	https://de.wikipedia.org/wiki/B%C3%BCndnis_Zukunft_%C3%96sterreich	1307	BZO
AT	politicalParty	politicalParty.JETZT	JETZT	JETZT – Liste Pilz	2017-07-26	2020-01-01	Mitte-links bis Links	https://de.wikipedia.org/wiki/Jetzt_%E2%80%93_Liste_Pilz	-	-
BA	government	government.BA	BA	Vijeće ministara Bosne i Herzegovine	1997-01-03	-	-	-	-	-
BA	parliament	PS	PS	Parlamentarna skupština Bosne i Hercegovine	1996-09-28	-	-	https://bs.wikipedia.org/wiki/Parlamentarna_skup%C5%A1tina_Bosne_i_Hercegovine https://en.wikipedia.org/wiki/Parliamentary_Assembly_of_Bosnia_and_Herzegovina	-	-
BA	parliamentaryGroup	party.DNZ_BIH	DNZ_BiH	Demokratska narodna zajednica BiH	-	-	Veliki šator	https://en.wikipedia.org/wiki/Democratic_People's_Union	-	-
BA	parliamentaryGroup	party.HDZ_BIH	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	-	Desni centar	https://hr.wikipedia.org/wiki/Hrvatska_demokratska_zajednica_Bosne_i_Hercegovine	-	-
BA	parliamentaryGroup	party.KCD_BIH	KCD_BiH	Koalicija za cjelovitu i demokratsku BiH	-	-	-	-	-	-
BA	parliamentaryGroup	party.NHI-HKDU	NHI-HKDU	Koalicija Nova hrvatska inicijativa - Hrvatska kršćanska demokratska unija Bosne i Hercegovine	-	-	Centar	https://en.wikipedia.org/wiki/Croatian_Christian_Democratic_Union	-	-
BA	parliamentaryGroup	party.RSRS	RSRS	Radikalna stranka Republike Srpske	-	-	Desno	https://en.wikipedia.org/wiki/Serbian_Radical_Party_of_Republika_Srpska	-	-
BA	parliamentaryGroup	party.SDP_BIH	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	-	-	Lijevi centar	https://en.wikipedia.org/wiki/Social_Democratic_Party_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.SDS	SDS	Srpska demokratska stranka	-	-	Desni centar do desno	https://en.wikipedia.org/wiki/Serb_Democratic_Party_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.SLOGA	Sloga	Sloga	-	-	-	-	-	-
BA	parliamentaryGroup	party.SD_BIH	SD_BiH	Socijaldemokrati BiH	-	-	Lijevi centar	https://en.wikipedia.org/wiki/Social_Democrats_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.SRSRS	SRSRS	Srpska radikalna stranka Republike Srpske	-	-	Desno	https://en.wikipedia.org/wiki/Serbian_Radical_Party_of_Republika_Srpska	-	-
BA	parliamentaryGroup	party.BPS	BPS	Bosanskohercegovačka patriotska stranka	-	-	Desni centar	https://en.wikipedia.org/wiki/Bosnian-Herzegovinian_Patriotic_Party	-	-
BA	parliamentaryGroup	party.DSP_BIH	DSP_BiH	Demokratska stranka penzionera BiH	-	-	-	https://en.wikipedia.org/wiki/Democratic_Party_of_Pensioners	-	-
BA	parliamentaryGroup	party.K-SNSD	K-SNSD	Koalicija Savez nezavisnih socijaldemokrata	-	-	Desno	https://hr.wikipedia.org/wiki/Savez_nezavisnih_socijaldemokrata	-	-
BA	parliamentaryGroup	party.NHI	NHI	Nova hrvatska inicijativa	-	-	Lijevo	https://hr.wikipedia.org/wiki/Nova_hrvatska_inicijativa	-	-
BA	parliamentaryGroup	party.PDP	PDP	Partija demokratskog progresa	-	-	Centar do desni centar	https://en.wikipedia.org/wiki/Party_of_Democratic_Progress	-	-
BA	parliamentaryGroup	party.SBIH	SBiH	Stranka za Bosnu i Hercegovinu	-	-	Centar	https://en.wikipedia.org/wiki/Party_for_Bosnia_and_Herzegovina	-	-
BA	parliamentaryGroup	party.SDA	SDA	Stranka demokratske akcije	-	-	Desni centar do desno	https://en.wikipedia.org/wiki/Party_of_Democratic_Action	-	-
