Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
FR	PA1872	minister	2017-06-22	2020-07-06	PO729976	-	-	-	-
FR	PA1872	minister	2020-07-07	-	PO773374	-	-	-	-
FR	PA227076	minister	2017-06-22	2018-10-16	PO730004	-	-	-	-
FR	PA227076	minister	2018-10-17	2020-07-06	PO759779	-	-	-	-
FR	PA227076	minister	2020-07-07	-	PO773390	-	-	-	-
FR	PA331481	minister	2017-06-22	2020-07-06	PO729982	-	-	-	-
FR	PA331481	minister	2020-07-07	-	PO773380	-	-	-	-
FR	PA332	minister	2020-07-07	-	PO773394	-	-	-	-
FR	PA335758	minister	2018-10-17	2020-07-06	PO759785	-	-	-	-
FR	PA337633	minister	2017-06-22	2020-07-06	PO730017	-	-	-	-
FR	PA337633	minister	2020-07-07	-	PO773398	-	-	-	-
FR	PA415452	minister	2018-10-17	2020-07-06	PO759789	-	-	-	-
FR	PA415482	minister	2017-06-22	2018-10-16	PO729978	-	-	-	-
FR	PA605131	minister	2018-10-17	2020-07-06	PO759777	-	-	-	-
FR	PA607395	minister	2017-06-22	2018-10-16	PO730006	-	-	-	-
FR	PA607846	minister	2017-06-22	2020-07-06	PO730011	-	-	-	-
FR	PA607846	minister	2020-07-07	-	PO773384	-	-	-	-
FR	PA609520	minister	2020-07-07	-	PO773376	-	-	-	-
FR	PA642788	minister	2020-07-07	-	PO773396	-	-	-	-
FR	PA642788	minister	2020-02-17	2020-07-06	PO770470	-	-	-	-
FR	PA643210	minister	2018-10-17	2020-07-06	PO759797	-	-	-	-
FR	PA643210	minister	2020-07-07	-	PO773388	-	-	-	-
FR	PA719938	minister	2018-10-17	2020-07-06	PO759793	-	-	-	-
FR	PA721670	minister	2020-07-07	-	PO773404	-	-	-	-
